Unnamed: 0,SEA,DAL
First Downs,18,17
Rush-Yds-TDs,34-97-2,28-105-1
Cmp-Att-Yd-TD-INT,19-31-177-0-2,12-24-145-1-0
Sacked-Yards,1-7,2-13
Net Pass Yards,170,132
Total Yards,267,237
Fumbles-Lost,0-0,2-1
Turnovers,2,1
Penalties-Yards,6-57,5-55
Third Down Conv.,10-16,3-9
Fourth Down Conv.,0-0,0-1
Time of Possession,32:05,27:55
