Quarter,Time,Tm,Detail,NOR,GNB
1.0,11:06,Packers,Greg Jennings 22 yard pass from Brett Favre (Dave Rayner kick),0,7
,8:38,Packers,Dave Rayner 24 yard field goal,0,10
,0:50,Packers,Dave Rayner 36 yard field goal,0,13
2.0,7:44,Saints,Deuce McAllister 3 yard rush (John Carney kick),7,13
,0:56,Saints,Devery Henderson 26 yard pass from Drew Brees (John Carney kick),14,13
3.0,5:41,Saints,John Carney 45 yard field goal,17,13
,3:02,Saints,John Carney 47 yard field goal,20,13
4.0,14:18,Packers,Robert Ferguson 4 yard pass from Brett Favre (Dave Rayner kick),20,20
,8:20,Saints,Marques Colston 35 yard pass from Drew Brees (John Carney kick),27,20
,7:54,Saints,Deuce McAllister 23 yard rush (John Carney kick),34,20
,4:18,Packers,Noah Herron 6 yard pass from Brett Favre (Dave Rayner kick),34,27
