Unnamed: 0,SEA,CHI
First Downs,14,21
Rush-Yds-TDs,19-77-0,38-143-2
Cmp-Att-Yd-TD-INT,17-37-202-0-2,17-31-232-2-0
Sacked-Yards,5-49,1-13
Net Pass Yards,153,219
Total Yards,230,362
Fumbles-Lost,0-0,3-0
Turnovers,2,0
Penalties-Yards,7-59,5-60
Third Down Conv.,4-16,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,24:28,35:32
