Quarter,Time,Tm,Detail,SEA,CHI
1.0,8:58,Seahawks,Josh Brown 23 yard field goal,3,0
,2:27,Bears,Muhsin Muhammad 9 yard pass from Rex Grossman (Robbie Gould kick),3,7
2.0,13:33,Bears,Robbie Gould 36 yard field goal,3,10
,6:23,Bears,Robbie Gould 20 yard field goal,3,13
,2:25,Bears,Thomas Jones 3 yard rush (Robbie Gould kick),3,20
,0:27,Seahawks,Josh Brown 24 yard field goal,6,20
3.0,10:05,Bears,Thomas Jones 1 yard rush (Robbie Gould kick),6,27
,0:51,Bears,Bernard Berrian 40 yard pass from Rex Grossman (Robbie Gould kick),6,34
4.0,7:43,Bears,Robbie Gould 41 yard field goal,6,37
