Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 64 yards, returned by Willie Ponder for 20 yards (tackle by Ricky Manning)",0.000,0.670
1,14:54,1,10,SEA 26,0,0,Matt Hasselbeck pass complete short right to Bobby Engram for 9 yards (tackle by Charles Tillman),0.670,1.350
1,14:24,2,1,SEA 35,0,0,Maurice Morris left tackle for 2 yards (tackle by Tank Johnson),1.350,1.400
1,14:02,1,10,SEA 37,0,0,Matt Hasselbeck pass incomplete short middle intended for Darrell Jackson,1.400,0.860
1,13:58,2,10,SEA 37,0,0,Maurice Morris left end for 4 yards (tackle by Alex Brown and Brian Urlacher),0.860,0.700
1,13:18,3,6,SEA 41,0,0,Mack Strong left end for 2 yards (tackle by Brian Urlacher),0.700,-0.520
1,12:36,4,4,SEA 43,0,0,"Ryan Plackemeier punts 57 yards, touchback",-0.520,-0.280
1,12:28,1,10,CHI 20,0,0,Thomas Jones right tackle for no gain (tackle by Rocky Bernard),0.280,-0.270
1,11:56,2,10,CHI 20,0,0,Thomas Jones right guard for 2 yards (tackle by Lofa Tatupu),-0.270,-0.690
1,11:22,3,8,CHI 22,0,0,Rex Grossman pass incomplete short left intended for Rashied Davis,-0.690,-1.900
1,11:16,4,8,CHI 22,0,0,"Brad Maynard punts 30 yards. Penalty on Darryl Tapp: Offensive Holding, 10 yards",-1.900,-1.470
1,11:07,1,10,SEA 38,0,0,Matt Hasselbeck pass complete deep left to Deion Branch for 31 yards (tackle by Danieal Manning),1.470,3.510
1,10:48,1,10,CHI 31,0,0,Maurice Morris right tackle for 2 yards (tackle by Tank Johnson and Alex Brown),3.510,3.240
1,10:10,2,8,CHI 29,0,0,Matt Hasselbeck pass complete deep right to Darrell Jackson for 22 yards (tackle by Danieal Manning),3.240,5.600
1,9:44,1,7,CHI 7,0,0,Matt Hasselbeck pass incomplete short right intended for Nate Burleson,5.600,4.760
1,9:40,2,7,CHI 7,0,0,Maurice Morris right end for 2 yards (tackle by Mike Brown and Lance Briggs),4.760,4.260
1,9:06,3,5,CHI 5,0,0,Matt Hasselbeck pass incomplete short middle intended for Itula Mili (defended by Brian Urlacher),4.260,3.010
1,9:02,4,5,CHI 5,3,0,Josh Brown 23 yard field goal good,3.010,3.000
1,,,,SEA 30,3,0,"Josh Brown kicks off 65 yards, returned by Rashied Davis for 26 yards (tackle by Oliver Celestin)",0.000,1.000
1,8:51,1,10,CHI 31,3,0,Rex Grossman pass complete short left to Muhsin Muhammad for 14 yards (tackle by Kelly Herndon),1.000,1.930
1,8:31,1,10,CHI 45,3,0,"Penalty on Bryce Fisher: Encroachment, 5 yards (no play)",1.930,2.660
1,8:11,1,5,,3,0,Rex Grossman sacked by Russell Davis for -13 yards,2.660,0.300
1,7:38,2,18,CHI 37,3,0,Rex Grossman pass complete short middle to Desmond Clark for 17 yards (tackle by LeRoy Hill and Julian Peterson),0.300,1.880
1,7:00,3,1,SEA 46,3,0,Rex Grossman pass complete short right to Jason McKie for no gain,1.880,0.200
1,6:27,4,1,SEA 46,3,0,Rex Grossman right guard for 2 yards (tackle by LeRoy Hill),0.200,2.650
1,5:51,1,10,SEA 44,3,0,Rex Grossman pass complete short left to Jason McKie for 3 yards (tackle by Michael Boulware),2.650,2.520
1,5:17,2,7,SEA 41,3,0,Thomas Jones left tackle for 1 yard (tackle by Chartric Darby),2.520,1.950
1,4:38,3,6,SEA 40,3,0,Rex Grossman pass complete short right to Desmond Clark for 14 yards (tackle by LeRoy Hill),1.950,3.840
1,3:59,1,10,SEA 26,3,0,Thomas Jones right guard for 15 yards (tackle by Michael Boulware),3.840,4.840
1,3:18,1,10,SEA 11,3,0,Thomas Jones right guard for 2 yards (tackle by Russell Davis and Julian Peterson),4.840,4.510
1,2:39,2,8,SEA 9,3,0,Rex Grossman pass incomplete intended for Thomas Jones,4.510,3.530
1,2:32,3,8,SEA 9,3,6,"Rex Grossman pass complete short middle to Muhsin Muhammad for 9 yards, touchdown",3.530,7.000
1,,,,SEA 2,3,7,Robbie Gould kicks extra point good,0.000,0.000
1,,,,CHI 30,3,7,"Robbie Gould kicks off 67 yards, returned by Willie Ponder for 26 yards (tackle by Brendon Ayanbadejo). Penalty on Israel Idonije: Face Mask (15 Yards), 15 yards",0.000,1.860
1,2:21,1,10,SEA 44,3,7,Matt Hasselbeck sacked by Tommie Harris for -10 yards,1.860,-0.030
1,1:57,2,20,SEA 34,3,7,Matt Hasselbeck pass complete short middle to Darrell Jackson for 6 yards (tackle by Lance Briggs),-0.030,0.100
1,1:21,3,14,SEA 40,3,7,Matt Hasselbeck pass incomplete short middle intended for Bobby Engram (defended by Ricky Manning),0.100,-0.720
1,1:17,4,14,SEA 40,3,7,Ryan Plackemeier punts 38 yards,-0.720,-0.410
1,1:06,1,10,CHI 22,3,7,Rex Grossman pass complete deep right to Bernard Berrian for 46 yards (tackle by Michael Boulware),0.410,3.450
1,0:35,1,10,SEA 32,3,7,Rex Grossman pass incomplete deep right intended for Bernard Berrian,3.450,2.900
1,0:29,2,10,SEA 32,3,7,"Penalty on Rocky Bernard: Neutral Zone Infraction, 5 yards (no play)",2.900,3.580
1,0:29,2,5,SEA 27,3,7,Cedric Benson right tackle for -2 yards (tackle by Julian Peterson),3.580,2.610
Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,SEA 29,3,7,Rex Grossman pass complete short middle to Muhsin Muhammad for 9 yards (tackle by Kelly Jennings),2.610,4.240
2,14:24,1,10,SEA 20,3,7,Rex Grossman pass incomplete deep middle intended for Muhsin Muhammad,4.240,3.690
2,14:20,2,10,SEA 20,3,7,Cedric Benson left guard for 2 yards (tackle by Michael Boulware),3.690,3.220
2,13:43,3,8,SEA 18,3,7,Rex Grossman pass incomplete short right intended for Desmond Clark,3.220,2.250
2,13:37,4,8,SEA 18,3,10,Robbie Gould 36 yard field goal good,2.250,3.000
2,,,,CHI 30,3,10,"Robbie Gould kicks off 67 yards, returned by Willie Ponder for 21 yards (tackle by Ricky Manning)",0.000,0.540
2,13:27,1,10,SEA 24,3,10,Maurice Morris right tackle for 2 yards (tackle by Mike Brown),0.540,0.270
2,12:50,2,8,SEA 26,3,10,Matt Hasselbeck pass incomplete short middle intended for Mack Strong,0.270,-0.430
2,12:46,3,8,SEA 26,3,10,Matt Hasselbeck pass incomplete short right intended for Deion Branch,-0.430,-1.630
2,12:42,4,8,SEA 26,3,10,"Ryan Plackemeier punts 34 yards, muffed catch by Devin Hester, recovered by Ricky Manning and returned for no gain",-1.630,-1.000
