Unnamed: 0,DET,GNB
First Downs,23,24
Rush-Yds-TDs,23-111-0,38-152-1
Cmp-Att-Yd-TD-INT,20-41-217-3-0,18-23-232-2-0
Sacked-Yards,2-15,1-7
Net Pass Yards,202,225
Total Yards,313,377
Fumbles-Lost,2-1,2-2
Turnovers,1,2
Penalties-Yards,10-53,5-40
Third Down Conv.,4-11,8-13
Fourth Down Conv.,1-3,0-1
Time of Possession,25:42,34:18
