Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 69 yards, returned by Jeremy Ross for 24 yards (tackle by Jarrett Bush)",0.000,-0.280
1,14:52,1,10,DET 20,0,0,Reggie Bush up the middle for 3 yards (tackle by Nick Perry),0.280,0.140
1,14:12,2,7,DET 23,0,0,Matthew Stafford pass complete short left to Jed Collins for 6 yards (tackle by Sam Barrington),0.140,0.230
1,13:28,3,1,DET 29,0,0,Matthew Stafford sacked by Clay Matthews for -6 yards,0.230,-1.830
1,12:53,4,7,DET 23,0,0,"Sam Martin punts 40 yards, fair catch by Randall Cobb",-1.830,-1.400
1,12:45,1,10,GNB 37,0,0,Eddie Lacy right guard for 22 yards (tackle by James Ihedigbo and Jason Jones),1.400,2.850
1,12:13,1,10,DET 41,0,0,Eddie Lacy right tackle for 5 yards (tackle by James Ihedigbo),2.850,2.980
1,11:33,2,5,DET 36,0,0,Eddie Lacy right tackle for 8 yards (tackle by Ezekiel Ansah),2.980,3.710
1,10:57,1,10,DET 28,0,0,James Starks right tackle for 21 yards (tackle by Glover Quin),3.710,5.600
1,10:13,1,7,DET 7,0,0,James Starks up the middle for 2 yards (tackle by Ndamukong Suh),5.600,5.150
1,9:34,2,5,DET 5,0,0,Eddie Lacy up the middle for 3 yards (tackle by Ndamukong Suh),5.150,4.950
1,8:54,3,2,DET 2,0,0,"Aaron Rodgers pass incomplete short middle intended for Jordy Nelson. Penalty on James Ihedigbo: Defensive Pass Interference, 1 yards (no play)",4.950,6.970
1,8:49,1,1,DET 1,0,0,John Kuhn left guard for no gain (tackle by Andre Fluellen),6.970,5.910
1,8:03,2,1,DET 1,0,0,Aaron Rodgers pass incomplete short right intended for Andrew Quarless,5.910,5.170
