Quarter,Time,Tm,Detail,ARI,CHI
1.0,10:55,Cardinals,DeAndre Hopkins 20 yard pass from Kyler Murray (Matt Prater kick),7,0
,1:39,Cardinals,Kyler Murray 9 yard rush (Matt Prater kick),14,0
2.0,8:50,Bears,David Montgomery 1 yard rush (Cairo Santos kick),14,7
,5:40,Cardinals,James Conner 23 yard pass from Kyler Murray (Matt Prater kick),21,7
3.0,9:52,Cardinals,Matt Prater 33 yard field goal,24,7
,2:49,Bears,Jimmy Graham 1 yard pass from Andy Dalton (Cairo Santos kick),24,14
4.0,8:31,Cardinals,Matt Prater 25 yard field goal,27,14
,6:23,Cardinals,Kyler Murray 3 yard rush (pass failed),33,14
,2:45,Bears,Jakeem Grant 8 yard pass from Andy Dalton (Jimmy Graham pass from Andy Dalton),33,22
