Unnamed: 0,ARI,CHI
First Downs,14,26
Rush-Yds-TDs,35-137-2,27-112-1
Cmp-Att-Yd-TD-INT,11-15-123-2-0,26-41-229-2-4
Sacked-Yards,1-3,3-12
Net Pass Yards,120,217
Total Yards,257,329
Fumbles-Lost,2-0,2-0
Turnovers,0,4
Penalties-Yards,8-63,6-45
Third Down Conv.,5-11,6-15
Fourth Down Conv.,1-2,4-4
Time of Possession,25:15,34:45
