Unnamed: 0,BUF,MIA
First Downs,16,26
Rush-Yds-TDs,33-92-0,22-73-1
Cmp-Att-Yd-TD-INT,14-27-227-3-1,34-65-387-2-1
Sacked-Yards,2-25,3-26
Net Pass Yards,202,361
Total Yards,294,434
Fumbles-Lost,2-2,1-1
Turnovers,3,2
Penalties-Yards,7-55,13-81
Third Down Conv.,6-14,8-20
Fourth Down Conv.,0-0,1-2
Time of Possession,31:17,28:43
