Quarter,Time,Down,ToGo,Location,LAC,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,Chris Carson right tackle for 15 yards (tackle by Casey Hayward),0.610,1.600
1,14:24,1,10,SEA 40,0,0,Chris Carson up the middle for 5 yards (tackle by Denzel Perryman and Derwin James),1.600,1.730
1,13:52,2,5,SEA 45,0,0,Mike Davis up the middle for 6 yards (tackle by Casey Hayward),1.730,2.320
1,13:17,1,10,LAC 49,0,0,"Penalty on Nick Vannett: False Start, 5 yards (no play)",2.320,1.990
1,12:54,1,15,SEA 46,0,0,"Penalty on Brandon Mebane: Encroachment, 5 yards (no play)",1.990,2.320
1,12:30,1,10,LAC 49,0,0,Mike Davis right tackle for -2 yards (tackle by Corey Liuget),2.320,1.510
1,11:54,2,12,SEA 49,0,0,Russell Wilson pass complete short middle to Nick Vannett for 11 yards (tackle by Denzel Perryman),1.510,2.280
1,11:16,3,1,LAC 40,0,0,Chris Carson left guard for 2 yards (tackle by Derwin James),2.280,3.050
1,10:35,1,10,LAC 38,0,0,Russell Wilson pass incomplete deep left intended for Nick Vannett (defended by Desmond King),3.050,2.510
1,10:28,2,10,LAC 38,0,0,Rashaad Penny left end for 9 yards (tackle by Justin Jones and Jatavis Brown),2.510,3.010
1,9:49,3,1,LAC 29,0,0,Chris Carson left guard for 8 yards (tackle by Denzel Perryman and Kyle Emanuel),3.010,4.170
1,9:10,1,10,LAC 21,0,0,Russell Wilson pass complete short left to Mike Davis for 9 yards (tackle by Adrian Phillips),4.170,5.160
1,8:24,2,1,LAC 12,0,0,Mike Davis up the middle for no gain (tackle by Casey Hayward),5.160,4.490
1,7:41,3,1,LAC 12,0,0,Chris Carson up the middle for 2 yards (tackle by Derwin James and Brandon Mebane),4.490,4.910
1,7:02,1,10,LAC 10,0,6,"Russell Wilson pass complete short right to Jaron Brown for 10 yards, touchdown",4.910,7.000
1,6:55,,,LAC 15,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,6:55,,,SEA 35,0,7,"Sebastian Janikowski kicks off 67 yards, muffed catch by Desmond King returned by Desmond King for no gain (tackle by Barkevious Mingo and Shalom Luani)",0.000,-0.380
1,6:50,1,10,LAC 6,0,7,Keenan Allen right end for 28 yards (tackle by Tedric Thompson),-0.380,1.200
1,6:15,1,10,LAC 34,0,7,Philip Rivers pass complete short left to Melvin Gordon for 10 yards (tackle by Tre Flowers),1.200,1.860
1,5:39,1,10,LAC 44,0,7,Melvin Gordon up the middle for 4 yards (tackle by K.J. Wright and Jarran Reed),1.860,1.860
1,4:56,2,6,LAC 48,0,7,Philip Rivers pass complete short left to Tyrell Williams for 11 yards (tackle by K.J. Wright),1.860,2.850
1,4:14,1,10,SEA 41,0,7,Melvin Gordon right tackle for -1 yards (tackle by Dion Jordan and K.J. Wright),2.850,2.170
1,3:30,2,11,SEA 42,0,7,Philip Rivers pass complete short middle to Virgil Green for 6 yards (tackle by Bobby Wagner),2.170,2.280
1,2:53,3,5,SEA 36,0,7,"Penalty on SEA: Illegal Substitution, 5 yards (no play)",2.280,3.510
1,2:38,1,10,SEA 31,0,7,Austin Ekeler left end for 16 yards (tackle by Tedric Thompson),3.510,4.580
1,1:56,1,10,SEA 15,0,7,Melvin Gordon right tackle for 2 yards (tackle by Jarran Reed and Bobby Wagner),4.580,4.280
1,1:10,2,8,SEA 13,0,7,Philip Rivers pass complete short middle to Keenan Allen for 6 yards (tackle by K.J. Wright),4.280,4.680
1,0:26,3,2,SEA 7,0,7,"Penalty on Mike Pouncey: False Start, 5 yards (no play)",4.680,3.580
1,0:01,3,7,SEA 12,6,7,"Philip Rivers pass complete short left to Tyrell Williams for 12 yards, touchdown",3.580,7.000
1,0:00,,,SEA 15,6,7,Caleb Sturgis kicks extra point no good wide left,0.000,-1.000
Quarter,Time,Down,ToGo,Location,LAC,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,LAC 35,6,7,"Caleb Sturgis kicks off 62 yards, returned by Rashaad Penny for no gain (tackle by Hayes Pullard and Geremy Davis)",0.000,0.410
2,14:55,1,10,SEA 22,6,7,Mike Davis left tackle for 5 yards (tackle by Adrian Phillips),0.410,0.540
2,14:10,2,5,SEA 27,6,7,Russell Wilson sacked by Jahleel Addae for -13 yards,0.540,-2.240
2,13:29,3,18,SEA 14,6,7,Mike Davis left tackle for 10 yards (tackle by Derwin James),-2.240,-1.770
2,12:50,4,8,SEA 24,6,7,"Michael Dickson punts 57 yards, returned by Desmond King for -2 yards (tackle by Justin Coleman)",-1.770,0.060
2,12:40,1,10,LAC 17,6,7,Philip Rivers pass incomplete short middle intended for Melvin Gordon (defended by K.J. Wright),-0.060,-0.580
2,12:32,2,10,LAC 17,6,7,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Shaquill Griffin),-0.580,-1.250
2,12:29,3,10,LAC 17,6,7,"Penalty on LAC: Delay of Game, 5 yards (no play)",-1.250,-2.010
2,12:29,3,15,LAC 12,6,7,Philip Rivers pass complete deep middle to Keenan Allen for 54 yards (tackle by Shaquill Griffin),-2.010,3.310
2,11:44,1,10,SEA 34,12,7,"Melvin Gordon right end for 34 yards, touchdown. Penalty on Shamar Stephen: Defensive Holding (Declined)",3.310,7.000
2,11:36,,,SEA 2,12,7,"Two Point Attempt: Philip Rivers pass incomplete intended for Antonio Gates, conversion fails",0.000,-1.000
2,11:36,,,LAC 35,12,7,"Caleb Sturgis kicks off 65 yards, returned by Rashaad Penny for no gain (tackle by Derek Watt and Geremy Davis)",0.000,-0.140
2,11:31,1,10,SEA 16,12,7,Chris Carson up the middle for 1 yard (tackle by Melvin Ingram and Brandon Mebane),-0.140,-0.510
2,10:55,2,9,SEA 17,12,7,Rashaad Penny right guard for 1 yard (tackle by Corey Liuget and Derwin James),-0.510,-1.070
2,10:16,3,8,SEA 18,12,7,Russell Wilson pass incomplete short right intended for David Moore,-1.070,-2.240
2,10:11,4,8,SEA 18,12,7,"Michael Dickson punts 50 yards, returned by Desmond King for 2 yards (tackle by Shalom Luani). Penalty on Adrian Phillips: Illegal Block Above the Waist, 10 yards",-2.240,-0.540
2,10:02,1,10,LAC 24,12,7,Melvin Gordon right guard for no gain (tackle by Dion Jordan and Barkevious Mingo),0.540,0.000
2,9:20,2,10,LAC 24,12,7,Philip Rivers pass incomplete short middle intended for Melvin Gordon,0.000,-0.690
2,9:16,3,10,LAC 24,12,7,Philip Rivers pass incomplete short middle intended for Travis Benjamin (defended by Bobby Wagner),-0.690,-1.770
2,9:10,4,10,LAC 24,12,7,Donnie Jones punts 53 yards out of bounds,-1.770,-0.480
2,8:57,1,10,SEA 23,12,7,Russell Wilson pass complete deep left to Doug Baldwin for 42 yards (tackle by Michael Davis),0.480,3.250
2,8:21,1,10,LAC 35,12,7,Chris Carson right tackle for 7 yards (tackle by Casey Hayward),3.250,3.650
2,7:49,2,3,LAC 28,12,7,Chris Carson left end for no gain (tackle by Michael Davis and Derwin James),3.650,2.940
2,7:03,3,3,LAC 28,12,7,"Russell Wilson pass complete short right to Doug Baldwin for no gain (tackle by Desmond King). Penalty on David Moore: Offensive Pass Interference, 10 yards (no play)",2.940,1.620
2,6:34,3,13,LAC 38,12,7,Russell Wilson pass complete short left to Mike Davis for 5 yards (tackle by Michael Davis and Adrian Phillips),1.620,1.150
2,5:55,4,8,LAC 33,12,7,Sebastian Janikowski 51 yard field goal no good,1.150,-1.660
2,5:49,1,10,LAC 41,12,7,Austin Ekeler left tackle for 2 yards (tackle by Bobby Wagner and Quinton Jefferson),1.660,1.390
2,5:08,2,8,LAC 43,12,7,Philip Rivers pass incomplete short right intended for Austin Ekeler,1.390,0.700
2,5:03,3,8,LAC 43,12,7,Philip Rivers pass incomplete deep right intended for Mike Williams (defended by Tedric Thompson),0.700,-0.520
2,4:55,4,8,LAC 43,12,7,Donnie Jones punts 44 yards out of bounds,-0.520,0.320
2,4:47,1,10,SEA 13,12,7,Rashaad Penny right guard for 4 yards (tackle by Denzel Perryman),-0.320,-0.300
2,4:12,2,6,SEA 17,12,7,Russell Wilson pass complete short left to Rashaad Penny for 6 yards (tackle by Jatavis Brown),-0.300,0.480
2,3:27,1,10,SEA 23,12,7,"Russell Wilson pass complete short right to Rashaad Penny for 3 yards (tackle by Kyle Emanuel). Penalty on D.J. Fluker: Unnecessary Roughness, 13 yards",0.480,-1.500
2,3:00,2,20,SEA 13,12,7,Russell Wilson pass complete short left to David Moore for 7 yards (tackle by Desmond King),-1.500,-1.150
2,2:27,3,13,SEA 20,12,7,"Russell Wilson pass incomplete deep middle intended for Doug Baldwin. Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",-1.150,-0.490
2,2:20,3,8,SEA 25,12,7,Russell Wilson pass incomplete short right intended for Tyler Lockett,-0.490,-1.700
2,2:17,4,8,SEA 25,12,7,"Michael Dickson punts 57 yards, returned by Desmond King for 17 yards (tackle by Jacob Martin and Shaquem Griffin)",-1.700,-1.270
2,2:05,1,10,LAC 35,12,7,Philip Rivers pass complete short middle to Keenan Allen for 12 yards (tackle by Tedric Thompson),1.270,2.060
2,2:00,1,10,LAC 47,12,7,Philip Rivers pass incomplete short right intended for Melvin Gordon,2.060,1.520
2,1:55,2,10,LAC 47,12,7,Philip Rivers pass complete deep middle to Keenan Allen for 23 yards (tackle by Justin Coleman),1.520,3.580
2,1:23,1,10,SEA 30,12,7,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Justin Coleman),3.580,3.030
2,1:17,2,10,SEA 30,18,7,"Philip Rivers pass complete short left to Mike Williams for 30 yards, touchdown",3.030,7.000
2,1:10,,,SEA 15,19,7,Caleb Sturgis kicks extra point good,0.000,0.000
2,1:10,,,LAC 35,19,7,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
2,1:10,1,10,SEA 25,19,7,"Russell Wilson pass complete short right to Tyler Lockett for 4 yards (tackle by Derwin James). Penalty on Derwin James: Unnecessary Roughness, 15 yards",0.610,1.860
2,1:03,1,10,SEA 44,19,7,Russell Wilson pass complete short middle to Nick Vannett for 6 yards (tackle by Jatavis Brown),1.860,2.130
2,0:49,2,4,SEA 50,19,7,Russell Wilson pass complete short middle to Mike Davis for 7 yards (tackle by Jatavis Brown),2.130,2.720
2,0:43,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:43,1,10,LAC 43,19,7,Mike Davis right guard for 4 yards (tackle by Isaac Rochell),2.720,2.720
2,0:37,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:37,2,6,LAC 39,19,7,Russell Wilson pass complete short left to Doug Baldwin for 8 yards (tackle by Jatavis Brown and Desmond King),2.720,3.510
2,0:33,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:33,1,10,LAC 31,19,7,Russell Wilson pass complete short middle to Mike Davis for 10 yards (tackle by Jatavis Brown and Jahleel Addae),3.510,4.170
2,0:16,1,10,LAC 21,19,7,"Penalty on David Moore: False Start, 5 yards (no play)",4.170,3.840
2,0:05,1,15,LAC 26,19,7,Russell Wilson spiked the ball,3.840,2.950
2,0:04,2,15,LAC 26,19,10,Sebastian Janikowski 44 yard field goal good,2.950,3.000
