Unnamed: 0,LAC,SEA
First Downs,18,25
Rush-Yds-TDs,22-160-1,32-154-0
Cmp-Att-Yd-TD-INT,13-26-228-2-0,26-39-235-2-1
Sacked-Yards,2-13,4-33
Net Pass Yards,215,202
Total Yards,375,356
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,12-105,10-83
Third Down Conv.,2-9,4-15
Fourth Down Conv.,0-0,3-3
Time of Possession,24:19,35:41
