Quarter,Time,Tm,Detail,IND,NWE
1.0,8:58,Patriots,Cordarrelle Patterson 1 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
2.0,12:14,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),0,14
,8:49,Colts,Adam Vinatieri 54 yard field goal,3,14
,1:34,Patriots,James White 6 yard pass from Tom Brady (Stephen Gostkowski kick),3,21
,0:13,Patriots,Stephen Gostkowski 45 yard field goal,3,24
3.0,9:48,Colts,Eric Ebron 14 yard pass from Andrew Luck (Adam Vinatieri kick),10,24
4.0,12:48,Colts,Erik Swoope 13 yard pass from Andrew Luck (Adam Vinatieri kick),17,24
,9:19,Patriots,Josh Gordon 34 yard pass from Tom Brady (Stephen Gostkowski kick),17,31
,7:08,Patriots,Sony Michel 34 yard rush (Stephen Gostkowski kick),17,38
,1:11,Colts,Eric Ebron 1 yard pass from Andrew Luck (Adam Vinatieri kick),24,38
