Unnamed: 0,IND,NWE
First Downs,26,26
Rush-Yds-TDs,21-84-0,23-97-2
Cmp-Att-Yd-TD-INT,38-59-365-3-2,34-44-341-3-2
Sacked-Yards,1-10,0-0
Net Pass Yards,355,341
Total Yards,439,438
Fumbles-Lost,1-1,0-0
Turnovers,3,2
Penalties-Yards,4-35,7-50
Third Down Conv.,7-15,5-10
Fourth Down Conv.,2-3,0-0
Time of Possession,32:26,27:34
