Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 64 yards, returned by Akwasi Owusu-Ansah for 13 yards (tackle by Jasper Brinkley)",0.000,0.150
1,14:56,1,10,DAL 19,0,0,Marion Barber left tackle for 6 yards (tackle by Ben Leber and E.J. Henderson),0.150,0.480
1,14:21,2,4,DAL 25,0,0,Marion Barber left tackle for 3 yards (tackle by Husain Abdullah),0.480,0.100
1,13:44,3,1,DAL 28,0,0,Marion Barber middle for 2 yards (tackle by Ben Leber),0.100,0.940
1,13:12,1,10,DAL 30,0,0,Tony Romo pass incomplete short right intended for Miles Austin (defended by Chad Greenway),0.940,0.390
1,13:08,2,10,DAL 30,0,0,Tony Romo pass incomplete deep right intended for Miles Austin,0.390,-0.300
1,13:01,3,10,DAL 30,0,0,Tony Romo pass complete short left to Miles Austin for 4 yards (tackle by Antoine Winfield),-0.300,-1.110
1,12:31,4,6,DAL 34,0,0,Mat McBriar punts 37 yards,-1.110,-0.870
1,12:26,1,10,MIN 29,0,0,Brett Favre pass complete short left to Percy Harvin for 9 yards (tackle by Bradie James),0.870,1.540
1,11:52,2,1,MIN 38,0,0,Brett Favre pass incomplete deep left intended for Percy Harvin,1.540,0.830
1,11:46,3,1,MIN 38,0,0,Adrian Peterson right guard for 2 yards (tackle by Gerald Sensabaugh and Marcus Spears),0.830,1.600
1,11:08,1,10,MIN 40,0,0,Adrian Peterson middle for -2 yards (tackle by Bradie James),1.600,0.780
1,10:24,2,12,MIN 38,0,0,Brett Favre pass complete short middle to Randy Moss for 11 yards (tackle by Mike Jenkins),0.780,1.550
1,9:49,3,1,MIN 49,0,0,Adrian Peterson left guard for 2 yards (tackle by Stephen Bowen and Bradie James),1.550,2.320
1,9:14,1,10,DAL 49,0,0,"Brett Favre for no gain. Brett Favre fumbles, recovered by Bradie James at MIN-48 (tackle by Adrian Peterson)",2.320,-2.390
1,9:05,1,10,MIN 48,0,0,Felix Jones middle for 2 yards (tackle by Antoine Winfield),2.390,2.120
1,8:29,2,8,MIN 46,0,0,Tony Romo pass complete short right to Felix Jones for 12 yards (tackle by Husain Abdullah),2.120,3.310
1,8:06,1,10,MIN 34,0,0,Felix Jones left end for -3 yards (tackle by Chad Greenway),3.310,2.370
1,7:26,2,13,MIN 37,0,0,Tony Romo middle for 12 yards (tackle by Asher Allen),2.370,3.270
1,6:46,3,1,MIN 25,0,0,Marion Barber left end for 6 yards (tackle by Chad Greenway),3.270,4.310
1,6:15,1,10,MIN 19,0,0,Tony Romo pass complete short right to Marion Barber for no gain,4.310,3.750
1,5:38,2,10,MIN 19,0,0,Felix Jones right guard for 4 yards (tackle by Chad Greenway),3.750,3.580
1,5:06,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,3.580
1,5:06,3,6,MIN 15,6,0,"Tony Romo pass complete short middle to Roy Williams for 15 yards, touchdown. Penalty on Sam Hurd: Unsportsmanlike Conduct, 15 yards",3.580,7.000
1,,,,MIN 2,7,0,David Buehler kicks extra point good,0.000,0.000
1,,,,DAL 15,7,0,David Buehler kicks off 48 yards,0.000,2.590
1,5:02,1,10,DAL 45,7,0,Adrian Peterson left guard for no gain (tackle by Bradie James),2.590,2.040
1,4:18,2,10,DAL 45,7,0,Brett Favre pass complete short middle to Jim Kleinsasser for 5 yards (tackle by Orlando Scandrick),2.040,2.010
1,3:34,3,5,DAL 40,7,0,Brett Favre sacked by Gerald Sensabaugh for -9 yards,2.010,0.000
1,2:59,4,14,DAL 49,7,0,"Chris Kluwe punts 33 yards, fair catch by Akwasi Owusu-Ansah",0.000,0.140
1,2:52,1,10,DAL 16,7,0,Felix Jones left tackle for 1 yard (tackle by Husain Abdullah),-0.140,-0.510
1,2:18,2,9,DAL 17,7,0,Tony Romo pass complete short right to Felix Jones for 6 yards (tackle by Antoine Winfield and Ben Leber),-0.510,-0.450
1,1:34,3,3,DAL 23,7,0,Tony Romo pass incomplete short middle intended for Jason Witten is intercepted by E.J. Henderson at DAL-26 and returned for 10 yards,-0.450,-4.510
1,1:25,1,10,DAL 16,7,0,"Penalty on Phil Loadholt: False Start, 5 yards (no play)",4.510,4.170
1,1:25,1,15,DAL 21,7,0,Adrian Peterson middle for 1 yard (tackle by Bradie James),4.170,3.420
1,0:45,2,14,DAL 20,7,0,Brett Favre pass complete short right to Percy Harvin for 10 yards (tackle by Gerald Sensabaugh),3.420,4.170
1,0:02,3,4,DAL 10,7,6,"Brett Favre pass complete short right to Greg Camarillo for 10 yards, touchdown",4.170,7.000
1,,,,DAL 2,7,7,Ryan Longwell kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,MIN 30,7,7,"Ryan Longwell kicks off 59 yards, returned by Chris Gronkowski for 10 yards (tackle by Erin Henderson)",0.000,0.340
2,14:56,1,10,DAL 21,7,7,Tony Romo pass complete short right to Felix Jones for 7 yards (tackle by Antoine Winfield),0.340,0.750
2,14:20,2,3,DAL 28,7,7,Felix Jones middle for 2 yards (tackle by Pat Williams),0.750,0.300
2,13:43,3,1,DAL 30,7,7,Marion Barber middle for 2 yards (tackle by Chad Greenway and E.J. Henderson),0.300,1.070
2,13:06,1,10,DAL 32,7,7,"Tony Romo pass complete deep middle to Miles Austin for 68 yards. Penalty on Miles Austin: Offensive Pass Interfere, 10 yards (no play)",1.070,0.410
2,12:55,1,20,DAL 22,7,7,Tony Romo pass complete short left to Felix Jones for 2 yards (tackle by Asher Allen),0.410,-0.550
2,12:15,2,18,DAL 24,7,7,Felix Jones middle for 6 yards (tackle by Fred Evans and Jared Allen),-0.550,-0.430
2,12:15,3,12,DAL 30,7,7,"Penalty on DAL: Illegal Substitution, 5 yards (no play)",-0.430,-1.090
2,11:25,3,17,DAL 25,7,7,Tony Romo pass complete short left to Marion Barber for 14 yards,-1.090,-0.780
2,10:52,4,3,DAL 39,7,7,"Penalty on Mat McBriar: Delay of Game, 5 yards (no play)",-0.780,-1.110
2,10:49,4,8,DAL 34,7,7,"Mat McBriar punts 51 yards, returned by Greg Camarillo for 7 yards (tackle by Danny McCray)",-1.110,-0.410
2,10:39,1,10,MIN 22,7,7,Adrian Peterson left end for 15 yards (tackle by Mike Jenkins). Penalty on DeMarcus Ware: Defensive Offside (Declined),0.410,1.400
2,10:22,1,10,MIN 37,7,7,Adrian Peterson middle for 7 yards (tackle by Orlando Scandrick),1.400,1.800
2,9:39,2,3,MIN 44,7,7,"Brett Favre pass incomplete deep middle intended for Percy Harvin. Penalty on Mike Jenkins: Defensive Pass Interfere, 23 yards (no play)",1.800,3.380
2,9:34,1,10,DAL 33,7,7,Adrian Peterson right end for 1 yard (tackle by DeMarcus Ware),3.380,2.970
