Unnamed: 0,DAL,MIN
First Downs,16,14
Rush-Yds-TDs,28-94-0,28-95-1
Cmp-Att-Yd-TD-INT,24-32-220-3-2,14-19-118-1-0
Sacked-Yards,0-0,3-25
Net Pass Yards,220,93
Total Yards,314,188
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,11-91,5-45
Third Down Conv.,9-17,6-12
Fourth Down Conv.,1-1,0-0
Time of Possession,32:10,27:50
