Quarter,Time,Tm,Detail,DAL,MIN
1.0,5:02,Cowboys,Roy Williams 15 yard pass from Tony Romo (David Buehler kick),7,0
,0:00,Vikings,Greg Camarillo 10 yard pass from Brett Favre (Ryan Longwell kick),7,7
2.0,0:29,Cowboys,Roy Williams 2 yard pass from Tony Romo (David Buehler kick),14,7
3.0,14:48,Vikings,Percy Harvin 95 yard kickoff return (Ryan Longwell kick),14,14
,0:43,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),14,21
4.0,10:18,Cowboys,Dez Bryant 31 yard pass from Tony Romo (David Buehler kick),21,21
,4:03,Vikings,Ryan Longwell 38 yard field goal,21,24
