Unnamed: 0,ATL,BAL
First Downs,16,23
Rush-Yds-TDs,16-68-0,36-123-1
Cmp-Att-Yd-TD-INT,29-44-228-1-0,16-25-258-2-2
Sacked-Yards,5-42,1-10
Net Pass Yards,186,248
Total Yards,254,371
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,7-76,9-72
Third Down Conv.,4-15,4-11
Fourth Down Conv.,1-3,1-1
Time of Possession,26:47,33:13
