Unnamed: 0,DAL,KAN
First Downs,20,20
Rush-Yds-TDs,26-150-1,29-72-0
Cmp-Att-Yd-TD-INT,20-34-351-2-0,23-41-253-2-0
Sacked-Yards,1-3,4-21
Net Pass Yards,348,232
Total Yards,498,304
Fumbles-Lost,4-2,0-0
Turnovers,2,0
Penalties-Yards,13-90,7-50
Third Down Conv.,5-12,5-17
Fourth Down Conv.,0-0,1-1
Time of Possession,32:00,34:38
