Quarter,Time,Tm,Detail,DAL,KAN
2,14:13,Chiefs,Ryan Succop 47 yard field goal,0,3
,11:00,Chiefs,Mike Vrabel 1 yard pass from Matt Cassel (Ryan Succop kick),0,10
,1:49,Cowboys,Nick Folk 22 yard field goal,3,10
3,6:30,Chiefs,Ryan Succop 38 yard field goal,3,13
,1:55,Cowboys,Tashard Choice 36 yard rush (Nick Folk kick),10,13
4,11:10,Cowboys,Nick Folk 28 yard field goal,13,13
,2:16,Cowboys,Miles Austin 59 yard pass from Tony Romo (Nick Folk kick),20,13
,0:24,Chiefs,Dwayne Bowe 16 yard pass from Matt Cassel (Ryan Succop kick),20,20
OT,8:22,Cowboys,Miles Austin 60 yard pass from Tony Romo,26,20
