Unnamed: 0,IND,OAK
First Downs,20,18
Rush-Yds-TDs,20-58-0,39-149-1
Cmp-Att-Yd-TD-INT,22-39-276-1-1,15-29-104-1-0
Sacked-Yards,3-12,0-0
Net Pass Yards,264,104
Total Yards,322,253
Fumbles-Lost,1-0,3-0
Turnovers,1,0
Penalties-Yards,3-30,6-47
Third Down Conv.,5-13,7-16
Fourth Down Conv.,0-2,1-3
Time of Possession,26:14,33:46
