Quarter,Time,Tm,Detail,IND,OAK
1.0,9:58,Colts,Adam Vinatieri 22 yard field goal,3,0
,8:42,Colts,T.J. Rushing 90 yard punt return (Adam Vinatieri kick),10,0
2.0,3:06,Raiders,Ronald Curry 3 yard pass from Josh McCown (Sebastian Janikowski kick),10,7
3.0,8:06,Colts,Adam Vinatieri 19 yard field goal,13,7
4.0,10:29,Raiders,Justin Fargas 2 yard rush (Sebastian Janikowski kick),13,14
,4:49,Colts,Anthony Gonzalez 20 yard pass from Peyton Manning (Joseph Addai run),21,14
