Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 65 yards, touchback.",,
1,14:57,1,10,CLE 25,0,0,Baker Mayfield pass incomplete short left intended for Austin Hooper,,
1,14:53,2,10,CLE 25,0,0,Baker Mayfield pass complete short right to Demetric Felton for 4 yards (tackle by Zaven Collins),,
1,14:19,3,6,CLE 29,0,0,"Baker Mayfield pass complete short right to Austin Hooper for no gain (tackle by Budda Baker). Penalty on James Hudson: Illegal Formation, 5 yards (accepted) (no play)",,
1,13:52,3,11,CLE 24,0,0,Baker Mayfield pass incomplete short left intended for Odell Beckham (defended by Byron Murphy),,
1,13:46,4,11,CLE 24,0,0,"Jamie Gillan punts 54 yards, returned by Rondale Moore for 4 yards (tackle by Grant Delpit)",,
1,13:34,1,10,ARI 26,0,0,Kyler Murray pass incomplete short left,,
1,13:27,2,10,ARI 26,0,0,Kyler Murray right tackle for 4 yards (tackle by Troy Hill),,
1,12:42,3,6,ARI 30,0,0,Chase Edmonds left guard for 40 yards (tackle by Greedy Williams),,
1,12:01,1,10,CLE 30,0,0,Kyler Murray pass complete short right to James Conner for no gain (tackle by Ronnie Harrison),,
1,11:20,2,10,CLE 30,0,0,James Conner left tackle for 3 yards (tackle by Troy Hill),,
1,10:39,3,7,CLE 27,0,0,Kyler Murray pass complete short middle to Christian Kirk for 15 yards (tackle by Grant Delpit),,
1,10:04,1,10,CLE 12,0,0,Rondale Moore left guard for 5 yards (tackle by Jordan Elliott),,
1,9:22,2,5,CLE 7,0,0,"Kyler Murray aborted snap, recovered by Kyler Murray at CLE-21 and returned for -14 yards Kyler Murray for no gain",,
1,8:40,3,21,CLE 21,6,0,"Kyler Murray pass complete to Christian Kirk for 21 yards, touchdown",,
1,8:34,,,CLE 15,7,0,Matt Prater kicks extra point good,,
1,8:34,,,ARI 35,7,0,"Matt Prater kicks off 65 yards, touchback.",,
1,8:34,1,10,CLE 25,7,0,Baker Mayfield pass incomplete short right intended for Donovan Peoples-Jones,,
1,8:30,2,10,CLE 25,7,0,Baker Mayfield pass complete deep right to Odell Beckham for 25 yards (tackle by Jalen Thompson),,
1,7:43,1,10,CLE 50,7,0,"Kareem Hunt for no gain (tackle by Zaven Collins). Penalty on J.J. Watt: Defensive Offside, 5 yards (accepted) (no play)",,
1,7:17,1,5,ARI 45,7,0,Kareem Hunt right tackle for no gain (tackle by J.J. Watt and Devon Kennard),,
1,6:44,2,5,ARI 45,7,0,"Kareem Hunt left end for no gain (tackle by Budda Baker). Penalty on Donovan Peoples-Jones: Offensive Holding, 10 yards (accepted) (no play)",,
1,6:17,2,15,CLE 45,7,0,"Baker Mayfield pass complete deep left to Donovan Peoples-Jones for 20 yards (tackle by Marco Wilson). Penalty on Jonathan Ledbetter: Face Mask (15 Yards), 15 yards (accepted)",,
1,5:55,1,10,ARI 20,7,0,Baker Mayfield pass incomplete short middle intended for Austin Hooper,,
1,5:51,2,10,ARI 20,7,0,Kareem Hunt left guard for 5 yards (tackle by Markus Golden),,
1,5:10,3,5,ARI 15,7,0,Baker Mayfield scrambles left end for 2 yards (tackle by Jalen Thompson),,
1,4:34,4,3,ARI 13,7,0,Baker Mayfield sacked by Jordan Hicks for -9 yards,,
1,4:30,1,10,ARI 22,7,0,James Conner left guard for 9 yards (tackle by Anthony Walker),,
1,3:53,2,1,ARI 31,7,0,James Conner left guard for 4 yards (tackle by Jeremiah Owusu-Koramoah),,
1,3:24,1,10,ARI 35,7,0,Kyler Murray pass complete to A.J. Green for 10 yards (tackle by Greedy Williams),,
1,2:45,1,10,ARI 45,7,0,James Conner left tackle for no gain (tackle by Troy Hill and Jadeveon Clowney),,
1,2:11,2,10,ARI 45,7,0,"Kyler Murray pass incomplete short left intended for DeAndre Hopkins. Penalty on Denzel Ward: Defensive Pass Interference, 8 yards (accepted) (no play)",,
1,2:08,1,10,CLE 47,7,0,Kyler Murray pass incomplete deep left intended for A.J. Green,,
1,2:01,,,,,,Timeout #1 by Arizona Cardinals,,
1,2:01,2,10,CLE 47,7,0,Kyler Murray pass complete short right to Christian Kirk for 8 yards (tackle by John Johnson),,
1,1:32,3,2,CLE 39,7,0,"Kyler Murray pass incomplete deep left intended for DeAndre Hopkins. Penalty on Denzel Ward: Defensive Pass Interference, 24 yards (accepted) (no play)",,
1,1:26,1,10,CLE 15,7,0,"Rondale Moore left guard for 1 yard (tackle by Jeremiah Owusu-Koramoah). Penalty on Malik McDowell: Face Mask (15 Yards), 7 yards (accepted)",,
1,0:55,1,7,CLE 7,7,0,Chase Edmonds left guard for no gain (tackle by Jadeveon Clowney),,
1,0:19,2,7,CLE 7,7,0,"Kyler Murray pass incomplete short left. Penalty on Malik McDowell: Unnecessary Roughness / Defense, 4 yards (accepted) (no play)",,
1,0:11,1,3,CLE 3,7,0,"Penalty on Justin Pugh: False Start, 5 yards (accepted) (no play)",,
1,0:11,1,8,CLE 8,7,0,"Kyler Murray scrambles right end for no gain, touchdown. Penalty on Josh Jones: Offensive Holding, 10 yards (accepted) (no play)",,
1,0:06,,,,,,Timeout #2 by Arizona Cardinals,,
1,0:06,1,18,CLE 18,7,0,Kyler Murray pass complete short right to Chase Edmonds for 5 yards (tackle by Anthony Walker and Sheldon Day),,
Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,CLE 13,7,0,Kyler Murray pass incomplete short right,,
2,14:56,3,13,CLE 13,13,0,"Kyler Murray pass complete short left to DeAndre Hopkins for 13 yards, touchdown",,
2,14:49,,,CLE 15,14,0,Matt Prater kicks extra point good,,
2,14:49,,,ARI 35,14,0,"Matt Prater kicks off 68 yards, returned by Anthony Schwartz for 19 yards (tackle by Dennis Gardeck and Victor Dimukeje)",,
2,14:45,1,10,CLE 16,14,0,Kareem Hunt left tackle for 2 yards (tackle by Devon Kennard and Michael Dogbe),,
2,14:02,2,8,CLE 18,14,0,"Baker Mayfield sacked by Markus Golden for no gain. Baker Mayfield fumbles (forced by Markus Golden), recovered by Michael Dogbe at CLE-18 (tackle by Markus Golden). Penalty on Wyatt Teller: Offensive Holding, 10 yards (declined)",,
2,13:53,1,10,CLE 18,14,0,Kyler Murray pass incomplete short right intended for Darrell Daniels (defended by Jeremiah Owusu-Koramoah),,
2,13:48,2,10,CLE 18,14,0,"Kyler Murray for -5 yards. Kyler Murray fumbles, recovered by Kyler Murray at CLE-23",,
2,13:09,3,15,CLE 23,14,0,Kyler Murray pass incomplete short middle intended for Chase Edmonds,,
2,13:06,4,15,CLE 23,14,0,"Penalty on Jadeveon Clowney: Encroachment, 5 yards (accepted) (no play)",,
2,13:06,4,10,CLE 18,17,0,Matt Prater 36 yard field goal good,,
2,13:02,,,ARI 35,17,0,"Matt Prater kicks off 65 yards, touchback.",,
2,13:02,1,10,CLE 25,17,0,Baker Mayfield pass complete short right to Kareem Hunt for 4 yards (tackle by Byron Murphy and Zaven Collins),,
2,12:21,2,6,CLE 29,17,0,Kareem Hunt left tackle for -2 yards (tackle by Devon Kennard and J.J. Watt),,
2,11:39,3,8,CLE 27,17,0,"Baker Mayfield pass intended for Rashard Higgins is intercepted by Robert Alford at ARI-49 and returned for 46 yards (tackle by Wyatt Teller and D'Ernest Johnson) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Baker Mayfield pass intended for Rashard Higgins is intercepted by Robert Alford at ARI-49 and returned for 23 yards",,
2,11:31,1,10,CLE 28,17,0,James Conner right guard for 3 yards (tackle by Myles Garrett),,
2,10:54,2,7,CLE 25,17,0,James Conner right guard for 5 yards (tackle by Ronnie Harrison and Anthony Walker),,
2,10:12,3,2,CLE 20,17,0,Kyler Murray sacked by Jadeveon Clowney for -13 yards,,
2,9:29,4,15,CLE 33,20,0,Matt Prater 51 yard field goal good,,
2,9:24,,,ARI 35,20,0,"Matt Prater kicks off 65 yards, touchback.",,
2,9:24,1,10,CLE 25,20,0,Baker Mayfield pass complete short middle to Odell Beckham for 17 yards (tackle by Marco Wilson),,
2,8:41,1,10,CLE 42,20,0,Baker Mayfield scrambles left end for 4 yards (tackle by Joe Walker),,
2,8:05,2,6,CLE 46,20,0,Baker Mayfield pass complete short right to Demetric Felton for 10 yards (tackle by Isaiah Simmons and Jordan Hicks),,
2,7:23,1,10,ARI 44,20,0,Kareem Hunt right guard for 17 yards (tackle by Jalen Thompson),,
2,6:59,1,10,ARI 27,20,0,Kareem Hunt right tackle for 11 yards (tackle by Jalen Thompson and Jordan Hicks),,
2,6:33,1,10,ARI 16,20,0,Kareem Hunt right tackle for no gain (tackle by Devon Kennard and Jordan Phillips),,
2,5:48,2,10,ARI 16,20,0,Baker Mayfield pass complete short right to Kareem Hunt for 5 yards (tackle by Isaiah Simmons),,
2,5:11,3,5,ARI 11,20,6,"Baker Mayfield pass complete short right to Donovan Peoples-Jones for 11 yards, touchdown",,
2,5:06,,,ARI 15,20,7,Chase McLaughlin kicks extra point good,,
2,5:06,,,CLE 35,20,7,"Chase McLaughlin kicks off 59 yards, returned by Rondale Moore for 23 yards (tackle by Tony Fields)",,
2,5:01,1,10,ARI 29,20,7,Chase Edmonds right guard for 2 yards (tackle by Troy Hill and Jeremiah Owusu-Koramoah),,
2,4:23,2,8,ARI 31,20,7,Kyler Murray pass complete short right to Chase Edmonds for -1 yards (tackle by Anthony Walker),,
2,3:41,3,9,ARI 30,20,7,Kyler Murray pass complete short left to Rondale Moore for 10 yards (tackle by John Johnson),,
2,3:18,1,10,ARI 40,20,7,Chase Edmonds right guard for 4 yards (tackle by Jeremiah Owusu-Koramoah and Takkarist McKinley),,
2,2:44,2,6,ARI 44,20,7,Kyler Murray pass complete deep right to DeAndre Hopkins for 33 yards (tackle by Greg Newsome),,
2,2:00,1,10,CLE 23,20,7,Kyler Murray pass complete short left to Rondale Moore for 5 yards (tackle by Denzel Ward),,
2,1:54,2,5,CLE 18,20,7,Rondale Moore left end for 4 yards (tackle by Sheldon Day),,
2,1:45,,,,,,Timeout #1 by Cleveland Browns,,
2,1:45,3,1,CLE 14,20,7,James Conner left guard for 3 yards (tackle by Jeremiah Owusu-Koramoah and Jadeveon Clowney),,
2,1:38,,,,,,Timeout #2 by Cleveland Browns,,
