Quarter,Time,Tm,Detail,ARI,CLE
1.0,8:34,Cardinals,Christian Kirk 21 yard pass from Kyler Murray (Matt Prater kick),7,0
2.0,14:49,Cardinals,DeAndre Hopkins 13 yard pass from Kyler Murray (Matt Prater kick),14,0
,13:02,Cardinals,Matt Prater 36 yard field goal,17,0
,9:24,Cardinals,Matt Prater 51 yard field goal,20,0
,5:06,Browns,Donovan Peoples-Jones 11 yard pass from Baker Mayfield (Chase McLaughlin kick),20,7
,0:43,Cardinals,Matt Prater 33 yard field goal,23,7
,0:00,Browns,Donovan Peoples-Jones 57 yard pass from Baker Mayfield (Chase McLaughlin kick),23,14
3.0,2:56,Cardinals,DeAndre Hopkins 9 yard pass from Kyler Murray (Matt Prater kick),30,14
4.0,4:48,Cardinals,A.J. Green 14 yard pass from Kyler Murray (Matt Prater kick),37,14
