Unnamed: 0,ARI,CLE
First Downs,24,16
Rush-Yds-TDs,37-144-0,19-73-0
Cmp-Att-Yd-TD-INT,20-30-229-4-0,20-31-240-2-1
Sacked-Yards,2-21,5-23
Net Pass Yards,208,217
Total Yards,352,290
Fumbles-Lost,4-0,2-2
Turnovers,0,3
Penalties-Yards,5-45,9-88
Third Down Conv.,8-15,3-10
Fourth Down Conv.,1-1,1-4
Time of Possession,34:39,25:21
