Unnamed: 0,BAL,JAX
First Downs,25,16
Rush-Yds-TDs,42-251-1,17-75-0
Cmp-Att-Yd-TD-INT,14-24-171-1-1,25-43-264-1-0
Sacked-Yards,3-26,1-6
Net Pass Yards,145,258
Total Yards,396,333
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,6-54,6-47
Third Down Conv.,5-12,3-13
Fourth Down Conv.,1-1,2-3
Time of Possession,34:19,25:41
