Unnamed: 0,KAN,MIA
First Downs,14,16
Rush-Yds-TDs,19-80-1,36-117-1
Cmp-Att-Yd-TD-INT,15-38-201-0-0,19-36-201-0-0
Sacked-Yards,3-16,1-12
Net Pass Yards,185,189
Total Yards,265,306
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,7-65,1-3
Third Down Conv.,3-14,7-17
Fourth Down Conv.,0-1,0-1
Time of Possession,24:10,35:50
