Unnamed: 0,TAM,NOR
First Downs,19,25
Rush-Yds-TDs,22-94-1,31-112-0
Cmp-Att-Yd-TD-INT,15-27-204-2-0,28-36-345-4-1
Sacked-Yards,6-46,0-0
Net Pass Yards,158,345
Total Yards,252,457
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,4-30,6-40
Third Down Conv.,3-11,8-15
Fourth Down Conv.,1-1,1-2
Time of Possession,26:33,33:27
