Quarter,Time,Tm,Detail,TAM,NOR
1.0,3:58,Saints,Wil Lutz 29 yard field goal,0,3
,0:10,Buccaneers,Chris Godwin 26 yard pass from Jameis Winston (Matt Gay kick),7,3
2.0,10:13,Saints,Michael Thomas 14 yard pass from Teddy Bridgewater (Wil Lutz kick),7,10
,5:33,Buccaneers,Matt Gay 42 yard field goal,10,10
,0:32,Saints,Jared Cook 9 yard pass from Teddy Bridgewater (Wil Lutz kick),10,17
3.0,13:44,Saints,Ted Ginn Jr. 33 yard pass from Teddy Bridgewater (Wil Lutz kick),10,24
,5:03,Buccaneers,Peyton Barber 2 yard rush (Matt Gay kick),17,24
4.0,10:37,Saints,Michael Thomas 12 yard pass from Teddy Bridgewater (Wil Lutz kick),17,31
,0:13,Buccaneers,Chris Godwin 26 yard pass from Jameis Winston (Matt Gay kick),24,31
