Unnamed: 0,DEN,ATL
First Downs,19,20
Rush-Yds-TDs,25-124-2,35-114-2
Cmp-Att-Yd-TD-INT,19-27-216-1-0,20-33-250-0-1
Sacked-Yards,1-8,0-0
Net Pass Yards,208,250
Total Yards,332,364
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-36,5-36
Third Down Conv.,7-12,11-18
Fourth Down Conv.,0-0,0-1
Time of Possession,26:18,33:42
