Quarter,Time,Tm,Detail,DEN,ATL
1.0,9:26,Broncos,Peyton Hillis 7 yard rush (Matt Prater kick),7,0
,2:26,Falcons,Jason Elam 46 yard field goal,7,3
2.0,12:33,Falcons,Jason Elam 36 yard field goal,7,6
,7:34,Falcons,Michael Turner 9 yard rush (Jason Elam kick),7,13
3.0,9:59,Broncos,Peyton Hillis 2 yard rush (Matt Prater kick),14,13
4.0,14:56,Broncos,Matt Prater 20 yard field goal,17,13
,10:41,Falcons,Michael Turner 28 yard rush (Jason Elam kick),17,20
,5:35,Broncos,Daniel Graham 9 yard pass from Jay Cutler (Matt Prater kick),24,20
