Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Matt Prater kicks off 70 yards, returned by Jerious Norwood for 20 yards (tackle by Mario Haggan)",0.000,0.280
1,14:55,1,10,ATL 20,0,0,Matt Ryan pass incomplete short right intended for Roddy White,0.280,-0.270
1,14:51,2,10,ATL 20,0,0,Matt Ryan pass incomplete short left intended for Roddy White,-0.270,-0.960
1,14:47,3,10,ATL 20,0,0,Matt Ryan pass complete short left to Michael Jenkins for 6 yards (tackle by Jamie Winborn),-0.960,-1.630
1,14:08,4,4,ATL 26,0,0,"Michael Koenen punts 34 yards, fair catch by Eddie Royal. Penalty on David Irons: Player Out of Bounds on Punt, 5 yards",-1.630,-1.930
1,14:00,1,10,DEN 45,0,0,Eddie Royal right end for -3 yards (tackle by John Abraham),1.930,0.980
1,13:30,2,13,DEN 42,0,0,Peyton Hillis left end for 4 yards (tackle by Chris Houston and Curtis Lofton),0.980,0.830
1,12:50,3,9,DEN 46,0,0,Jay Cutler pass complete short right to Brandon Stokley for 12 yards (tackle by Erik Coleman). Penalty on John Abraham: Defensive Offside (Declined),0.830,2.790
1,12:32,1,10,ATL 42,0,0,Jay Cutler pass complete short right to Eddie Royal for 4 yards (tackle by Domonique Foxworth),2.790,2.780
1,11:57,2,6,ATL 38,0,0,Jay Cutler pass complete short right to Eddie Royal for 8 yards,2.780,3.580
1,11:30,1,10,ATL 30,0,0,Jay Cutler pass complete short right to Brandon Marshall for 9 yards (tackle by Domonique Foxworth),3.580,4.250
1,11:12,2,1,ATL 21,0,0,"Penalty on Nate Jackson: False Start, 5 yards (no play)",4.250,3.570
1,10:53,2,6,ATL 26,0,0,Jay Cutler pass incomplete short middle intended for Eddie Royal,3.570,2.870
1,10:48,3,6,ATL 26,0,0,Jay Cutler pass complete short left to Brandon Stokley for 10 yards (tackle by Chevis Jackson),2.870,4.510
1,10:08,1,10,ATL 16,0,0,Jay Cutler pass complete short left to Brandon Marshall for 9 yards (tackle by Chris Houston),4.510,5.540
1,9:31,2,1,ATL 7,6,0,"Peyton Hillis up the middle for 7 yards, touchdown",5.540,7.000
1,,,,ATL 2,7,0,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Matt Prater kicks off 65 yards, returned by Jerious Norwood for 26 yards (tackle by Jack Williams)",0.000,1.000
1,9:20,1,10,ATL 31,7,0,Michael Turner left end for 2 yards (tackle by Spencer Larsen),1.000,0.730
1,8:46,2,8,ATL 33,7,0,Michael Turner up the middle for 1 yard (tackle by John Engelberger),0.730,0.170
1,8:11,3,7,ATL 34,7,0,Matt Ryan pass complete short right to Brian Finneran for 8 yards (tackle by Jamie Winborn),0.170,1.730
1,7:34,1,10,ATL 42,7,0,"Penalty on Ben Wilkerson: False Start, 5 yards (no play)",1.730,1.400
1,7:18,1,15,ATL 37,7,0,Matt Ryan pass complete short middle to Michael Jenkins for 9 yards (tackle by Spencer Larsen),1.400,1.730
1,6:37,2,6,ATL 46,7,0,Jerious Norwood right end for no gain (tackle by Spencer Larsen),1.730,1.030
1,6:00,3,6,ATL 46,7,0,Matt Ryan pass complete short right to Roddy White for 9 yards (tackle by Karl Paymah),1.030,2.590
1,5:32,1,10,DEN 45,7,0,Jerious Norwood left tackle for 1 yard (tackle by Wesley Woodyard),2.590,2.180
1,4:59,2,9,DEN 44,7,0,Matt Ryan pass complete short right to Michael Jenkins for 10 yards (tackle by Josh Bell),2.180,3.310
1,4:17,1,10,DEN 34,7,0,Michael Turner up the middle for 1 yard (tackle by Wesley Woodyard),3.310,2.910
1,3:40,2,9,DEN 33,7,0,Jason Snelling right end for -3 yards (tackle by Jamie Winborn),2.910,1.820
1,3:07,3,12,DEN 36,7,0,Matt Ryan pass complete short right to Jerious Norwood for 8 yards (tackle by Jack Williams),1.820,1.650
1,2:31,4,4,DEN 28,7,3,Jason Elam 46 yard field goal good,1.650,3.000
1,,,,ATL 30,7,3,"Michael Koenen kicks off 71 yards, returned by Eddie Royal for 20 yards (tackle by Curtis Lofton)",0.000,0.150
1,2:21,1,10,DEN 19,7,3,Jay Cutler pass complete short right to Eddie Royal for 4 yards (tackle by Lawyer Milloy),0.150,0.210
1,1:48,2,6,DEN 23,7,3,Jay Cutler pass complete short middle to Brandon Marshall for 5 yards (tackle by Domonique Foxworth),0.210,0.100
1,1:11,3,1,DEN 28,7,3,Tatum Bell up the middle for no gain (tackle by Grady Jackson),0.100,-1.500
1,0:29,4,1,DEN 28,7,3,"Brett Kern punts 52 yards, returned by Harry Douglas for 9 yards (tackle by Mike Leach)",-1.500,-0.870
1,0:15,1,10,ATL 29,7,3,Matt Ryan pass complete deep left to Roddy White for 35 yards (tackle by Dre' Bly),0.870,3.180
Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 36,7,3,Michael Turner left end for -4 yards (tackle by Dre' Bly),3.180,2.100
2,14:26,2,14,DEN 40,7,3,Jerious Norwood left end for 5 yards (tackle by Spencer Larsen),2.100,2.080
2,13:52,3,9,DEN 35,7,3,Matt Ryan pass complete short left to Michael Jenkins for 15 yards (tackle by Josh Bell),2.080,4.240
,,,,,,,"DEN challenged the illegal forward pass ruling, and the play was upheld.",,
2,13:25,1,10,DEN 20,7,3,Michael Turner up the middle for 3 yards (tackle by Josh Bell),4.240,4.120
2,12:48,2,7,DEN 17,7,3,Matt Ryan pass incomplete deep left intended for Brian Finneran,4.120,3.360
2,12:43,3,7,DEN 17,7,3,Matt Ryan pass incomplete short left intended for Jerious Norwood (defended by Calvin Lowry),3.360,2.310
2,12:37,4,7,DEN 17,7,6,Jason Elam 36 yard field goal good,2.310,3.000
2,,,,ATL 30,7,6,"Michael Koenen kicks off 66 yards, returned by Eddie Royal for 58 yards (tackle by Laurent Robinson)",0.000,3.050
2,12:21,1,10,ATL 38,7,6,Jay Cutler pass incomplete short right intended for Brandon Marshall,3.050,2.510
2,12:17,2,10,ATL 38,7,6,Jay Cutler pass complete short left to Peyton Hillis for 7 yards (tackle by Curtis Lofton),2.510,2.740
