Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kareem Hunt,CLE,13,40,0,1,13,1.0,27,2.1,1,13.0
Dontrell Hilliard,CLE,4,29,0,1,16,4.0,13,3.3,0,
D'Ernest Johnson,CLE,4,1,0,,-2,-0.5,3,0.8,0,
Baker Mayfield,CLE,1,5,0,0,4,4.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Conner,PIT,20,101,1,8,47,2.4,54,2.7,4,5.0
Benny Snell Jr.,PIT,6,17,1,2,7,1.2,10,1.7,0,
Anthony McFarland Jr.,PIT,3,2,0,,-1,-0.3,3,1.0,0,
Ben Roethlisberger,PIT,3,5,0,1,2,0.7,3,1.0,0,
Mason Rudolph,PIT,3,-3,0,,-3,-1.0,0,0.0,0,
Chase Claypool,PIT,2,7,1,1,5,2.5,2,1.0,0,
