Quarter,Time,Tm,Detail,CLE,PIT
1.0,10:35,Steelers,Chris Boswell 35 yard field goal,0,3
,8:58,Steelers,Minkah Fitzpatrick 33 yard interception return (Chris Boswell kick),0,10
2.0,10:28,Steelers,James Conner 3 yard rush (Chris Boswell kick),0,17
,5:43,Steelers,James Washington 28 yard pass from Ben Roethlisberger (Chris Boswell kick),0,24
,1:01,Browns,Rashard Higgins 13 yard pass from Baker Mayfield (Cody Parkey kick),7,24
3.0,0:52,Steelers,Chase Claypool 3 yard rush (Chris Boswell kick),7,31
4.0,8:08,Steelers,Benny Snell Jr. 1 yard rush (Chris Boswell kick),7,38
