Unnamed: 0,CLE,PIT
First Downs,12,18
Rush-Yds-TDs,22-75-0,37-129-3
Cmp-Att-Yd-TD-INT,15-28-165-1-2,15-23-168-1-0
Sacked-Yards,4-20,2-20
Net Pass Yards,145,148
Total Yards,220,277
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,7-55,6-45
Third Down Conv.,1-12,5-14
Fourth Down Conv.,0-3,2-2
Time of Possession,25:54,34:06
