Unnamed: 0,CAR,STL
First Downs,14,15
Rush-Yds-TDs,17-25-0,29-62-0
Cmp-Att-Yd-TD-INT,23-37-194-1-3,25-32-191-2-0
Sacked-Yards,3-18,2-7
Net Pass Yards,176,184
Total Yards,201,246
Fumbles-Lost,2-1,1-0
Turnovers,4,0
Penalties-Yards,6-30,7-65
Third Down Conv.,7-14,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,23:32,36:28
