Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Rhys Lloyd kicks off 72 yards, returned by Danny Amendola for 22 yards (tackle by Nic Harris)",0.000,0.280
1,14:55,1,10,STL 20,0,0,Sam Bradford pass complete short left to Brandon Gibson for -1 yards (tackle by Richard Marshall),0.280,-0.460
1,14:18,2,11,STL 19,0,0,"Sam Bradford pass complete short right to Danny Amendola for 3 yards (tackle by Richard Marshall). Penalty on Charles Johnson: Defensive Offside, 5 yards (no play)",-0.460,0.270
1,13:58,2,6,STL 24,0,0,Sam Bradford pass complete short right to Daniel Fells for no gain,0.270,-0.430
1,13:13,3,6,STL 24,0,0,Sam Bradford pass incomplete short left intended for Brandon Gibson,-0.430,-1.770
1,13:08,4,6,STL 24,0,0,"Donnie Jones punts 59 yards, returned by Steve Smith for 8 yards (tackle by David Vobora)",-1.770,-0.610
1,12:54,1,10,CAR 25,0,0,Matt Moore pass incomplete deep right intended for Steve Smith is intercepted by James Laurinaitis at CAR-41 and returned for 4 yards,0.610,-3.120
1,12:44,1,10,CAR 37,0,0,Sam Bradford right end for 1 yard (tackle by Sherrod Martin),3.120,2.710
1,12:16,2,9,CAR 36,0,0,Steven Jackson left end for -4 yards (tackle by James Anderson),2.710,1.490
1,11:35,3,13,CAR 40,0,0,Sam Bradford pass complete short left to Laurent Robinson for 7 yards (tackle by Richard Marshall),1.490,1.160
1,10:49,4,6,CAR 33,0,0,Josh Brown 51 yard field goal no good,1.160,-1.660
1,10:42,1,10,CAR 41,0,0,Jonathan Stewart right tackle for 1 yard (tackle by Na'il Diggs),1.660,1.260
1,10:05,2,9,CAR 42,0,0,Jonathan Stewart middle for 1 yard (tackle by James Hall),1.260,0.700
1,9:20,3,8,CAR 43,0,0,Matt Moore pass complete short left to Steve Smith for 4 yards (tackle by Ronald Bartell),0.700,-0.260
1,8:41,4,4,CAR 47,0,0,"Jason Baker punts 53 yards, touchback",-0.260,-0.280
1,8:28,1,10,STL 20,0,0,Steven Jackson right tackle for 3 yards (tackle by James Anderson),0.280,0.140
1,7:53,2,7,STL 23,0,0,Sam Bradford pass complete short left to Michael Hoomanawanui for 4 yards (tackle by Dan Connor),0.140,-0.030
1,7:14,3,3,STL 27,0,0,"Sam Bradford pass incomplete short middle intended for Brandon Gibson. Penalty on Captain Munnerlyn: Defensive Holding, 5 yards, Penalty on Richard Marshall: Defensive Holding (Declined) (no play)",-0.030,1.070
1,7:09,1,10,STL 32,0,0,Sam Bradford pass complete short left to Steven Jackson for 4 yards (tackle by Sherrod Martin),1.070,1.070
1,6:25,,,,0,0,Timeout #1 by Los Angeles Rams,0.000,1.070
1,6:25,2,6,STL 36,0,0,Sam Bradford pass complete short right to Danny Amendola for 7 yards (tackle by Richard Marshall),1.070,1.800
1,5:59,1,10,STL 43,0,0,Steven Jackson middle for 1 yard (tackle by James Anderson),1.800,1.390
1,5:35,2,9,STL 44,0,0,Sam Bradford sacked by Derek Landri for -1 yards. Penalty on Renardo Foster: Offensive Holding (Declined),1.390,0.560
1,5:05,3,10,STL 43,0,0,Sam Bradford sacked by James Anderson for -6 yards,0.560,-0.910
1,4:46,4,16,STL 37,0,0,Donnie Jones punts 43 yards,-0.910,-0.280
1,4:37,1,10,CAR 20,0,0,Matt Moore pass complete short right to Jeff King for 13 yards (tackle by Bradley Fletcher),0.280,1.140
1,4:14,1,10,CAR 33,0,0,Jonathan Stewart middle for 1 yard (tackle by James Hall),1.140,0.730
1,3:39,2,9,CAR 34,0,0,David Gettis right end for -11 yards (tackle by Chris Long),0.730,-1.420
1,3:02,3,20,CAR 23,0,0,Matt Moore middle for 5 yards (tackle by James Laurinaitis),-1.420,-1.500
1,2:12,4,15,CAR 28,0,0,"Jason Baker punts 48 yards, returned by Danny Amendola for 6 yards (tackle by Tyrell Sutton)",-1.500,-0.940
1,2:05,1,10,STL 30,0,0,Sam Bradford pass complete short right to Laurent Robinson for 3 yards (tackle by Greg Hardy),0.940,0.800
1,1:34,2,7,STL 33,0,0,Steven Jackson right tackle for 3 yards (tackle by Sherrod Martin),0.800,0.500
1,0:50,3,4,STL 36,0,0,Sam Bradford pass complete short right to Danny Amendola for 5 yards (tackle by Richard Marshall),0.500,1.660
1,0:26,1,10,STL 41,0,0,Steven Jackson middle for 4 yards (tackle by Sherrod Martin),1.660,1.660
Quarter,Time,Down,ToGo,Location,CAR,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,STL 45,0,0,Sam Bradford pass complete short left to Michael Hoomanawanui for 15 yards (tackle by Richard Marshall),1.660,2.920
2,14:22,1,10,CAR 40,0,0,Steven Jackson right end for 7 yards (tackle by Everette Brown),2.920,3.320
2,13:40,2,3,CAR 33,0,0,Sam Bradford pass complete short right to Danny Amendola for 1 yard (tackle by Charles Godfrey),3.320,2.740
2,12:55,3,2,CAR 32,0,0,Sam Bradford pass complete short middle to Daniel Fells for 7 yards (tackle by Dan Connor),2.740,3.910
2,12:14,1,10,CAR 25,0,0,Steven Jackson left guard for 14 yards (tackle by Dan Connor),3.910,4.840
2,11:35,1,10,CAR 11,0,0,Sam Bradford pass incomplete short right intended for Laurent Robinson,4.840,4.140
2,11:25,2,10,CAR 11,0,0,"Steven Jackson left guard for 2 yards. Penalty on Laurent Robinson: Offensive Holding, 10 yards (no play)",4.140,2.940
2,10:57,2,20,CAR 21,0,0,Sam Bradford pass incomplete deep right intended for Daniel Fells,2.940,2.280
2,10:51,3,20,CAR 21,0,0,Sam Bradford pass complete short left to Brandon Gibson for 6 yards (tackle by Captain Munnerlyn),2.280,2.440
2,10:14,4,14,CAR 15,0,3,Josh Brown 33 yard field goal good,2.440,3.000
2,,,,STL 30,0,3,"Josh Brown kicks off 73 yards, returned by Mike Goodson for 22 yards (tackle by Craig Dahl)",0.000,0.150
2,10:03,1,10,CAR 19,0,3,Matt Moore pass incomplete deep middle intended for Steve Smith,0.150,-0.390
2,9:56,2,10,CAR 19,0,3,Jonathan Stewart left end for -2 yards (tackle by James Laurinaitis),-0.390,-1.420
2,9:16,3,12,CAR 17,0,3,Matt Moore pass complete short right to Dante Rosario for 4 yards (tackle by James Laurinaitis),-1.420,-1.960
2,8:37,4,8,CAR 21,0,3,"Jason Baker punts 39 yards, returned by Danny Amendola for 5 yards (tackle by Nic Harris)",-1.960,-1.930
2,8:25,1,10,STL 45,0,3,Sam Bradford pass complete short right to Laurent Robinson for 4 yards (tackle by James Anderson),1.930,1.920
2,7:53,2,6,STL 49,0,3,Steven Jackson left guard for 1 yard (tackle by Dan Connor),1.920,1.360
2,7:16,3,5,,0,3,Sam Bradford pass complete short left to Danny Amendola for 9 yards (tackle by Richard Marshall),1.360,2.850
2,6:37,1,10,CAR 41,0,3,Sam Bradford pass incomplete deep right intended for Michael Hoomanawanui (defended by Chris Gamble),2.850,2.310
2,6:27,2,10,CAR 41,0,3,Steven Jackson right tackle for -2 yards (tackle by Charles Johnson),2.310,1.350
2,5:44,3,12,CAR 43,0,3,"Sam Bradford pass incomplete short right intended for Danny Amendola. Penalty on Tyler Brayton: Defensive Offside, 5 yards (no play)",1.350,2.020
2,5:40,3,7,CAR 38,0,3,Sam Bradford pass complete short middle to Brandon Gibson for 8 yards (tackle by Captain Munnerlyn),2.020,3.580
2,5:01,1,10,CAR 30,0,3,Steven Jackson right tackle for 4 yards (tackle by Charles Johnson),3.580,3.570
2,4:22,2,6,CAR 26,0,3,Sam Bradford pass complete short left to Laurent Robinson for 16 yards (tackle by Jon Beason),3.570,4.910
