Unnamed: 0,CHI,MIN
First Downs,8,31
Rush-Yds-TDs,11-43-0,34-159-1
Cmp-Att-Yd-TD-INT,18-23-147-1-2,32-48-392-3-0
Sacked-Yards,4-21,1-14
Net Pass Yards,126,378
Total Yards,169,537
Fumbles-Lost,2-1,2-1
Turnovers,3,1
Penalties-Yards,6-44,10-70
Third Down Conv.,2-8,12-18
Fourth Down Conv.,0-0,0-0
Time of Possession,19:05,40:55
