Quarter,Time,Down,ToGo,Location,BUF,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Stephen Hauschka kicks off 70 yards, returned by Andre Roberts for 24 yards (tackle by Matt Milano)",0.000,-0.150
1,14:54,1,10,ATL 19,0,0,Matt Ryan pass complete short right to Julio Jones for 5 yards (tackle by TreDavious White),0.150,0.340
1,14:20,2,5,ATL 24,0,0,Devonta Freeman left end for 11 yards (tackle by Micah Hyde),0.340,1.270
1,13:45,1,10,ATL 35,0,0,Matt Ryan pass complete short left to Levine Toilolo for 8 yards (tackle by Lorenzo Alexander),1.270,1.800
1,13:14,2,2,ATL 43,0,0,Devonta Freeman left end for 7 yards (tackle by Ramon Humber),1.800,2.260
1,12:32,1,10,,0,0,Devonta Freeman left tackle for 3 yards (tackle by Cedric Thornton),2.260,2.120
1,11:58,2,7,BUF 47,0,0,Matt Ryan pass incomplete short left intended for Tevin Coleman,2.120,1.420
1,11:52,3,7,BUF 47,0,0,Matt Ryan pass incomplete short left intended for Tevin Coleman,1.420,0.130
1,11:43,4,7,BUF 47,0,0,"Matthew Bosher punts 38 yards, fair catch by Micah Hyde",0.130,0.380
1,11:33,1,10,BUF 9,0,0,Tyrod Taylor pass complete short left to Charles Clay for 8 yards (tackle by Robert Alford),-0.380,-0.020
1,11:05,2,2,BUF 17,0,0,LeSean McCoy right tackle for 7 yards (tackle by Damontae Kazee and Deion Jones),-0.020,0.540
1,10:33,1,10,BUF 24,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for 6 yards (tackle by Brian Poole),0.540,0.810
1,10:09,2,4,BUF 30,0,0,Tyrod Taylor pass complete short right to Charles Clay for 14 yards (tackle by Damontae Kazee),0.810,1.860
1,9:42,1,10,BUF 44,0,0,Mike Tolbert left end for -1 yards (tackle by Dontari Poe),1.860,1.180
1,9:08,2,11,BUF 43,0,0,"LeSean McCoy left guard for 4 yards (tackle by Damontae Kazee). Penalty on Kaelin Clay: Illegal Block Above the Waist, 10 yards",1.180,0.370
1,8:44,2,17,BUF 37,0,0,Tyrod Taylor pass incomplete short middle intended for Charles Clay (defended by Keanu Neal),0.370,-0.300
1,8:41,3,17,BUF 37,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for 17 yards (tackle by Jack Crawford),-0.300,2.520
1,7:56,1,10,ATL 46,0,0,LeSean McCoy left end for 3 yards (tackle by Damontae Kazee and Grady Jarrett),2.520,2.380
1,7:18,2,7,ATL 43,0,0,Tyrod Taylor pass complete short left to Charles Clay for 12 yards (tackle by Adrian Clayborn),2.380,3.510
1,6:40,1,10,ATL 31,0,0,Tyrod Taylor sacked by Derrick Shelby for -9 yards,3.510,1.750
1,5:57,2,19,ATL 40,0,0,Mike Tolbert right guard for 2 yards (tackle by Brooks Reed and Dontari Poe),1.750,1.360
1,5:18,3,17,ATL 38,0,0,Tyrod Taylor pass incomplete deep right intended for Kaelin Clay,1.360,0.720
1,5:12,4,17,ATL 38,0,0,Colton Schmidt punts 37 yards,0.720,0.380
1,5:02,1,10,ATL 1,0,0,Matt Ryan pass incomplete short left intended for Derrick Coleman,-0.380,-0.780
1,4:56,2,10,ATL 1,0,0,Devonta Freeman left tackle for 1 yard (tackle by Jordan Poyer and Ramon Humber),-0.780,-1.300
1,4:18,3,9,ATL 2,0,0,Matt Ryan pass complete short middle to Julio Jones for 16 yards (tackle by E.J. Gaines),-1.300,0.040
1,3:40,1,10,ATL 18,0,0,Matt Ryan pass complete short middle to Austin Hooper for 18 yards (tackle by Jordan Poyer),0.040,1.330
1,3:04,1,10,ATL 36,0,0,Tevin Coleman left end for -2 yards (tackle by Jerry Hughes),1.330,0.520
1,2:27,2,12,ATL 34,0,0,Tevin Coleman left tackle for 6 yards (tackle by Ramon Humber and E.J. Gaines),0.520,0.630
1,1:52,3,6,ATL 40,0,0,Matt Ryan pass complete short right to Julio Jones for 9 yards (tackle by Leonard Johnson),0.630,2.190
1,1:10,1,10,ATL 49,0,0,Matt Ryan pass incomplete deep right intended for Julio Jones,2.190,1.650
1,1:04,2,10,ATL 49,0,0,Devonta Freeman right tackle for 1 yard (tackle by Ryan Davis),1.650,1.090
1,0:22,3,9,,0,0,Matt Ryan pass incomplete short left intended for Mohamed Sanu,1.090,-0.060
1,0:18,4,9,,0,0,"Matthew Bosher punts 40 yards, fair catch by Micah Hyde",-0.060,0.380
1,0:09,1,10,BUF 10,0,0,LeSean McCoy right end for -1 yards (tackle by Brooks Reed),-0.380,-0.850
Quarter,Time,Down,ToGo,Location,BUF,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,BUF 9,0,0,"Tyrod Taylor pass complete short right to Jordan Matthews for 6 yards (tackle by Desmond Trufant). Penalty on Jordan Matthews: Offensive Pass Interference, 4 yards (no play)",-0.850,-1.150
2,14:53,2,15,BUF 5,0,0,Tyrod Taylor pass incomplete deep left intended for Zay Jones,-1.150,-2.010
2,14:49,3,15,BUF 5,0,0,Tyrod Taylor sacked by Deion Jones for 0 yards,-2.010,-2.490
2,14:40,4,15,BUF 5,0,0,"Colton Schmidt punts 60 yards, returned by Andre Roberts for 11 yards (tackle by Joe Webb)",-2.490,-1.990
2,14:26,1,10,ATL 46,0,0,Tevin Coleman left end for 4 yards (tackle by Matt Milano),1.990,1.990
2,14:03,2,6,,0,0,"Matt Ryan pass incomplete deep left intended for Julio Jones. Penalty on Kyle Williams: Neutral Zone Infraction, 5 yards (no play)",1.990,2.670
2,13:43,2,1,BUF 45,0,0,Tevin Coleman right end for 29 yards (tackle by Micah Hyde),2.670,4.510
2,12:58,1,10,BUF 16,0,0,"Tevin Coleman right guard for no gain (tackle by Kyle Williams). Penalty on Levine Toilolo: Offensive Holding, 10 yards (no play)",4.510,3.840
2,12:32,1,20,BUF 26,0,0,Devonta Freeman left tackle for 4 yards (tackle by Preston Brown),3.840,3.150
2,11:56,2,16,BUF 22,0,0,Matt Ryan pass complete short right to Justin Hardy for 9 yards (tackle by Leonard Johnson),3.150,3.540
2,11:15,3,7,BUF 13,0,0,Matt Ryan pass complete short right to Mohamed Sanu for 3 yards (tackle by TreDavious White),3.540,2.840
2,10:35,4,4,BUF 10,0,3,Matt Bryant 28 yard field goal good,2.840,3.000
2,10:31,,,ATL 35,0,3,"Matthew Bosher kicks off 65 yards, returned by Taiwan Jones for 23 yards (tackle by Derrick Coleman)",0.000,-0.480
2,10:25,1,10,BUF 23,0,3,Tyrod Taylor pass incomplete deep left intended for Zay Jones,0.480,-0.070
2,10:18,2,10,BUF 23,0,3,LeSean McCoy right guard for 5 yards (tackle by Jack Crawford),-0.070,-0.100
2,9:39,3,5,BUF 28,0,3,Tyrod Taylor left tackle for 6 yards (tackle by Deion Jones),-0.100,1.200
2,9:04,1,10,BUF 34,0,3,LeSean McCoy right guard for 5 yards (tackle by Deion Jones),1.200,1.330
2,8:29,2,5,BUF 39,0,3,LeSean McCoy left guard for 4 yards (tackle by De'Vondre Campbell and Duke Riley),1.330,1.160
2,8:04,3,1,BUF 43,0,3,LeSean McCoy right tackle for 4 yards (tackle by Brooks Reed and Keanu Neal),1.160,2.060
2,7:23,1,10,BUF 47,0,3,Tyrod Taylor pass complete deep right to Charles Clay for 44 yards (tackle by Keanu Neal). Penalty on Keanu Neal: Defensive Pass Interference (Declined),2.060,5.140
2,6:57,1,9,ATL 9,6,3,"Tyrod Taylor pass complete short left to Jordan Matthews for 9 yards, touchdown",5.140,7.000
2,6:51,,,ATL 15,7,3,Stephen Hauschka kicks extra point good,0.000,0.000
2,6:51,,,BUF 35,7,3,"Stephen Hauschka kicks off 65 yards, touchback",0.000,-0.610
2,6:51,1,10,ATL 25,7,3,Devonta Freeman left tackle for 9 yards (tackle by Micah Hyde),0.610,1.280
2,6:17,2,1,ATL 34,7,3,Devonta Freeman right tackle for 1 yard (tackle by Jerel Worthy and Preston Brown),1.280,1.270
2,5:55,1,10,ATL 35,7,3,Matt Ryan pass incomplete short right intended for Mohamed Sanu (defended by TreDavious White),1.270,0.720
