Unnamed: 0,JAX,BUF
First Downs,21,20
Rush-Yds-TDs,18-50-1,46-232-2
Cmp-Att-Yd-TD-INT,19-42-202-1-1,9-17-112-2-1
Sacked-Yards,3-16,0-0
Net Pass Yards,186,112
Total Yards,236,344
Fumbles-Lost,3-1,1-1
Turnovers,2,2
Penalties-Yards,8-74,9-100
Third Down Conv.,1-10,5-12
Fourth Down Conv.,0-3,0-1
Time of Possession,24:51,35:09
