Quarter,Time,Tm,Detail,JAX,BUF
1.0,9:10,Bills,Ryan Fitzpatrick 1 yard rush (Rian Lindell kick),0,7
2.0,11:47,Jaguars,Josh Scobee 36 yard field goal,3,7
,3:47,Jaguars,Chad Henne 1 yard rush (Josh Scobee kick),10,7
,1:56,Bills,Scott Chandler 11 yard pass from Ryan Fitzpatrick (Rian Lindell kick),10,14
,0:31,Bills,Rian Lindell 29 yard field goal,10,17
3.0,11:06,Bills,Stevie Johnson 13 yard pass from Ryan Fitzpatrick (Rian Lindell kick),10,24
,2:14,Bills,Rian Lindell 50 yard field goal,10,27
4.0,13:29,Bills,C.J. Spiller 44 yard rush (Rian Lindell kick),10,34
,10:47,Jaguars,Cecil Shorts 5 yard pass from Chad Henne (Montell Owens run),18,34
