#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,JAX 22,3,1:05,5,Punt
2,1,9:10,JAX 38,5,2:09,14,Punt
3,1,5:16,JAX 30,9,4:33,29,Punt
4,2,13:40,BUF 32,7,1:53,14,Field Goal
5,2,5:33,JAX 37,4,1:46,63,Touchdown
6,2,1:56,JAX 20,1,0:05,-6,Fumble
7,2,0:31,JAX 12,1,0:31,-1,End of Half
8,3,11:06,JAX 27,8,4:00,34,Downs
9,3,2:14,JAX 20,3,1:38,3,Punt
10,4,13:29,JAX 17,6,2:38,26,Punt
11,4,10:51,BUF 5,1,0:04,5,Touchdown
12,4,8:33,JAX 26,8,2:52,35,Downs
13,4,3:08,JAX 15,7,1:18,58,Downs
14,4,0:38,JAX 36,1,0:19,0,Interception
