Unnamed: 0,MIN,NYJ
First Downs,21,21
Rush-Yds-TDs,23-101-1,29-91-1
Cmp-Att-Yd-TD-INT,26-39-288-0-3,24-29-324-1-0
Sacked-Yards,0-0,2-8
Net Pass Yards,288,316
Total Yards,389,407
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,6-60,4-45
Third Down Conv.,7-11,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:15,33:45
