Quarter,Time,Down,ToGo,Location,MIN,NYJ,Detail,EPB,EPA
2,13:02,1,10,NYJ 37,0,3,Daunte Culpepper pass complete to Jim Kleinsasser for 3 yards (tackle by Donnie Abraham),3.120,2.980
2,12:23,2,7,NYJ 34,0,3,Michael Bennett right end for 7 yards (tackle by Sam Cowart),2.980,3.780
2,12:02,1,10,NYJ 27,0,3,Daunte Culpepper pass incomplete intended for Jim Kleinsasser,3.780,3.230
2,11:56,2,10,NYJ 27,0,3,Daunte Culpepper right end for 8 yards (tackle by John Abraham),3.230,3.640
2,11:15,3,2,NYJ 19,0,3,Daunte Culpepper pass complete to Moe Williams for 6 yards (tackle by Sam Cowart and Marvin Jones),3.640,4.710
2,10:31,1,10,NYJ 13,0,3,Michael Bennett left tackle for -1 yards (tackle by Marvin Jones),4.710,3.900
2,9:46,2,11,NYJ 14,0,3,Daunte Culpepper pass complete to Chris Walsh for 7 yards (tackle by Sam Cowart),3.900,4.330
2,9:07,3,4,NYJ 7,0,3,Daunte Culpepper pass incomplete intended for Chris Walsh is intercepted by Mo Lewis at NYJ-2 and returned for 14 yards,4.330,0.140
2,8:59,1,10,NYJ 16,0,3,"Penalty on Santana Moss: False Start, 5 yards (no play)",-0.140,-0.540
2,8:59,1,15,NYJ 11,0,3,Curtis Martin middle for no gain (tackle by Greg Biekert),-0.540,-1.150
2,8:21,2,15,NYJ 11,0,3,Curtis Martin middle for no gain (tackle by Lorenzo Bromell),-1.150,-2.010
2,7:41,3,15,NYJ 11,0,3,"Chad Pennington pass complete to Santana Moss for 14 yards (tackle by Tyrone Carter). Penalty on Tyrone Carter: Unnecessary Roughness, 15 yards",-2.010,1.600
2,7:13,1,10,NYJ 40,0,3,Chad Pennington pass incomplete intended for LaMont Jordan,1.600,1.050
2,7:08,2,10,NYJ 40,0,3,LaMont Jordan left guard for 2 yards (tackle by Lance Johnstone and Fred Robbins),1.050,0.630
2,6:30,3,8,NYJ 42,0,3,Chad Pennington pass complete to Laveranues Coles for 17 yards (tackle by Tyrone Carter),0.630,2.850
2,5:44,1,10,MIN 41,0,3,Chad Pennington pass complete to Laveranues Coles for 6 yards (tackle by Corey Chavous),2.850,3.120
2,5:08,2,4,MIN 35,0,3,Chad Pennington pass complete to Jerald Sowell for 5 yards (tackle by Henri Crockett),3.120,3.580
2,4:28,1,10,MIN 30,0,3,Curtis Martin middle for no gain (tackle by Henri Crockett and Willie Offord),3.580,3.030
2,3:52,2,10,MIN 30,0,3,Chad Pennington pass complete to Richie Anderson for 1 yard (tackle by Henri Crockett),3.030,2.480
2,3:09,3,9,MIN 29,0,3,Chad Pennington pass complete to Curtis Martin for 22 yards (tackle by Willie Offord),2.480,5.600
2,2:33,1,7,MIN 7,0,9,"Chad Pennington pass complete to Laveranues Coles for 7 yards, touchdown",5.600,7.000
2,2:33,,,MIN 7,0,10,John Hall kicks extra point good,0.000,0.000
2,2:33,,,NYJ 30,0,10,"John Hall kicks off 65 yards, returned by Nick Davis for 22 yards (tackle by Andrew Davison)",0.000,0.740
2,2:23,1,10,MIN 27,0,10,Daunte Culpepper pass complete to Chris Walsh for 8 yards (tackle by Donnie Abraham),0.740,1.280
2,2:06,2,2,MIN 35,0,10,Daunte Culpepper pass incomplete intended for Jim Kleinsasser,1.280,0.560
2,2:02,3,2,MIN 35,0,10,"Penalty on Lewis Kelly: False Start, 5 yards (no play)",0.560,-0.100
2,2:02,3,7,MIN 30,0,10,Daunte Culpepper middle for 3 yards (tackle by Mo Lewis and Jason Ferguson),-0.100,-1.180
2,1:56,4,4,MIN 33,0,10,"Kyle Richardson punts 33 yards, fair catch by Chad Morton",-1.180,-1.200
2,1:47,1,10,NYJ 34,0,10,Curtis Martin left tackle for 4 yards (tackle by Lance Johnstone and Ronnie Bradford),1.200,1.200
2,1:29,2,6,NYJ 38,0,10,Chad Pennington pass complete to Curtis Martin for 4 yards (tackle by Lemanski Hall),1.200,1.030
2,1:20,2,6,NYJ 38,,,Timeout #1 by Minnesota Vikings,1.200,1.030
2,1:20,3,2,NYJ 42,0,10,Chad Pennington pass incomplete intended for Laveranues Coles,1.030,-0.590
2,1:14,4,2,NYJ 42,0,10,"Matt Turk punts 34 yards, returned by Nick Davis for 6 yards (tackle by James Darling). Penalty on Marvin Jones: Offensive Holding (Declined)",-0.590,-0.940
2,1:02,1,10,MIN 30,0,10,Daunte Culpepper pass incomplete intended for Moe Williams (defended by Shaun Ellis),0.940,0.390
2,1:02,2,10,MIN 30,0,10,Moe Williams right guard for 8 yards (tackle by Sam Garnes),0.390,0.760
2,0:30,3,2,MIN 38,0,10,Moe Williams middle for 1 yard (tackle by Marvin Jones and Jason Ferguson),0.760,-0.780
2,0:21,3,2,MIN 38,,,Timeout #1 by New York Jets,0.760,-0.780
2,0:21,4,1,MIN 39,0,10,"Kyle Richardson punts 38 yards, fair catch by Chad Morton. Penalty on Brian Williams: Interference with Opportunity to Catch, 15 yards",-0.780,-1.470
2,0:10,4,1,MIN 39,,,Timeout #2 by New York Jets,-0.780,-1.470
2,0:10,1,10,NYJ 38,0,10,Chad Pennington sacked by Lance Johnstone for 0 yards,1.470,0.920
Quarter,Time,Down,ToGo,Location,MIN,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,0,10,"John Hall kicks off 61 yards, returned by Doug Chapman for 20 yards (tackle by Aaron Beasley)",0.000,0.870
3,14:54,1,10,MIN 29,0,10,Michael Bennett middle for 13 yards (tackle by Aaron Beasley),0.870,1.730
3,14:13,1,10,MIN 42,0,10,Michael Bennett left tackle for no gain (tackle by Marvin Jones and Jason Ferguson),1.730,1.190
3,13:35,2,10,MIN 42,0,10,"Daunte Culpepper middle for 5 yards (tackle by Mo Lewis). Penalty on Jason Ferguson: Taunting, 15 yards",1.190,3.050
3,13:11,1,10,NYJ 38,0,10,Michael Bennett right end for 3 yards (tackle by Shaun Ellis),3.050,2.910
3,12:35,2,7,NYJ 35,0,10,Daunte Culpepper pass complete to Jim Kleinsasser for 8 yards (tackle by Sam Cowart and Aaron Beasley),2.910,3.780
3,11:58,1,10,NYJ 27,0,10,"Daunte Culpepper pass complete to Jim Kleinsasser for 7 yards (tackle by Marvin Jones). Penalty on Chris Liwienski: Ineligible Downfield Pass, 5 yards (no play)",3.780,3.450
3,11:23,1,15,NYJ 32,0,10,Daunte Culpepper pass incomplete intended for D'Wayne Bates (defended by Aaron Beasley),3.450,2.560
3,11:23,2,15,NYJ 32,0,10,Daunte Culpepper right end for 1 yard (tackle by John Abraham),2.560,2.020
3,10:44,3,14,NYJ 31,0,10,Daunte Culpepper pass incomplete intended for Derrick Alexander (defended by Donnie Abraham),2.020,1.320
3,10:32,4,14,NYJ 31,0,10,"Kyle Richardson punts 21 yards, fair catch by Chad Morton",1.320,0.380
3,10:32,1,10,NYJ 10,0,10,Curtis Martin left tackle for 1 yard (tackle by Nick Rogers and Lance Johnstone),-0.380,-0.710
3,9:58,2,9,NYJ 11,0,10,Chad Pennington pass complete to Curtis Martin for 6 yards (tackle by Greg Biekert),-0.710,-0.600
3,9:25,3,3,NYJ 17,0,10,Chad Pennington pass complete to Santana Moss for 34 yards (tackle by Brian Williams),-0.600,2.320
3,9:25,1,10,MIN 49,0,10,Chad Pennington pass complete to Laveranues Coles for 28 yards (tackle by Tyrone Carter),2.320,4.170
3,7:56,1,10,MIN 21,0,10,Chad Pennington pass complete to Wayne Chrebet for 16 yards (tackle by Willie Offord and Corey Chavous),4.170,6.060
3,7:56,1,5,MIN 5,0,16,"Curtis Martin left guard for 5 yards, touchdown. Penalty on Lorenzo Bromell: Encroachment (Declined)",6.060,7.000
3,7:56,,,MIN 5,0,17,John Hall kicks extra point good,0.000,0.000
3,7:56,,,NYJ 30,0,17,"John Hall kicks off 67 yards, returned by Doug Chapman for 14 yards (tackle by Jason Glenn)",0.000,-0.060
3,7:07,1,10,MIN 17,0,17,"Penalty on D'Wayne Bates: False Start, 5 yards (no play)",-0.060,-0.510
3,7:03,1,15,MIN 12,0,17,Daunte Culpepper pass complete to Byron Chamberlain for 5 yards (tackle by Sam Garnes),-0.510,-0.580
3,6:22,2,10,MIN 17,0,17,Michael Bennett right end for 4 yards (tackle by John Abraham),-0.580,-0.750
3,5:43,3,6,MIN 21,0,17,Daunte Culpepper pass complete to Randy Moss for 46 yards (tackle by Donnie Abraham),-0.750,3.380
3,4:55,1,10,NYJ 33,0,17,Daunte Culpepper right end for 9 yards (tackle by Mo Lewis and Sam Cowart),3.380,4.050
3,4:05,2,1,NYJ 24,0,17,"Michael Bennett right tackle for 6 yards (tackle by Mo Lewis). Michael Bennett fumbles (forced by Mo Lewis), recovered by Marvin Jones at NYJ-17",4.050,-0.040
3,4:05,1,10,NYJ 18,0,17,Chad Pennington pass complete to Richie Anderson for 6 yards (tackle by Tyrone Carter),0.040,0.410
3,3:40,2,4,NYJ 24,0,17,Curtis Martin right guard for 3 yards (tackle by Nick Rogers),0.410,-0.020
3,3:00,3,1,NYJ 27,0,17,Chad Pennington pass complete to Santana Moss for 21 yards (tackle by Tyrone Carter),-0.020,2.130
3,2:17,1,10,NYJ 48,0,17,Curtis Martin middle for 4 yards (tackle by Henri Crockett and Kenny Mixon),2.130,2.120
3,1:37,2,6,MIN 48,0,17,Chad Pennington pass complete to Wayne Chrebet for 15 yards (tackle by Corey Chavous),2.120,3.380
3,0:57,1,10,MIN 33,0,17,"Chad Pennington pass incomplete intended for Laveranues Coles. Penalty on J.P. Machado: Offensive Holding, 10 yards (no play)",3.380,2.720
3,0:51,1,20,MIN 43,0,17,Curtis Martin left guard for -2 yards (tackle by Greg Biekert),2.720,1.220
3,0:09,2,22,MIN 45,0,17,Curtis Martin left tackle for 12 yards (tackle by Greg Biekert),1.220,2.150
Quarter,Time,Down,ToGo,Location,MIN,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,MIN 33,0,17,Chad Pennington pass incomplete intended for Santana Moss (defended by Brian Russell). Penalty on Kareem McKenzie: Illegal Formation (Declined),2.150,1.150
4,14:45,4,10,MIN 33,0,17,John Hall punts 28 yards,1.150,0.380
4,14:45,1,10,MIN 5,0,17,Doug Chapman right tackle for 3 yards (tackle by John Abraham and Josh Evans),-0.380,-0.560
4,14:03,2,7,MIN 8,0,17,Daunte Culpepper pass incomplete intended for Byron Chamberlain,-0.560,-1.070
4,13:56,3,7,MIN 8,0,17,Daunte Culpepper pass complete to Randy Moss for 22 yards (tackle by Nick Ferguson and James Darling),-1.070,0.940
4,13:20,1,10,MIN 30,0,17,Daunte Culpepper pass incomplete intended for Derrick Alexander (defended by Aaron Beasley),0.940,0.390
4,13:16,2,10,MIN 30,0,17,Daunte Culpepper pass complete to D'Wayne Bates for 26 yards (tackle by Aaron Beasley),0.390,2.650
4,12:44,1,10,NYJ 44,0,17,Daunte Culpepper pass complete to D'Wayne Bates for 12 yards (tackle by Donnie Abraham),2.650,3.450
4,12:15,1,10,NYJ 32,0,17,Daunte Culpepper pass incomplete intended for Randy Moss is intercepted by Damien Robinson at NYJ--5 and returned for 12 yards,3.450,0.380
4,12:04,1,10,NYJ 7,0,17,LaMont Jordan left guard for 1 yard (tackle by Ronnie Bradford),-0.380,-0.710
4,11:27,2,9,NYJ 8,0,17,"Chad Pennington pass incomplete intended for Laveranues Coles (defended by Tyrone Carter). Penalty on Tyrone Carter: Face Mask (15 Yards), 15 yards (no play)",-0.710,0.480
4,11:21,1,10,NYJ 23,0,17,LaMont Jordan left guard for 2 yards (tackle by Lance Johnstone),0.480,0.200
4,10:38,2,8,NYJ 25,0,17,Chad Pennington pass complete to Santana Moss for 22 yards (tackle by Brian Russell),0.200,2.060
4,9:57,1,10,NYJ 47,0,17,LaMont Jordan right guard for 1 yard (tackle by Lance Johnstone and Kenny Mixon),2.060,1.650
4,9:16,2,9,NYJ 48,0,17,Chad Pennington pass complete to LaMont Jordan for 15 yards (tackle by Lemanski Hall and Greg Biekert),1.650,3.120
4,8:31,1,10,MIN 37,0,17,Chad Pennington pass complete to LaMont Jordan for 13 yards (tackle by Ronnie Bradford),3.120,3.970
4,7:43,1,10,MIN 24,0,17,Curtis Martin left guard for 2 yards (tackle by Henri Crockett and Kenny Mixon),3.970,3.700
4,7:07,2,8,MIN 22,0,17,Curtis Martin left guard for 2 yards (tackle by Nick Rogers),3.700,3.270
4,6:28,3,6,MIN 20,0,17,Chad Pennington pass incomplete intended for Curtis Martin (defended by Kenny Mixon),3.270,2.150
4,6:24,4,6,MIN 20,0,20,John Hall 37 yard field goal good,2.150,3.000
4,6:24,,,NYJ 30,0,20,"John Hall kicks off 59 yards, returned by Nick Davis for 17 yards (tackle by Ray Mickens)",0.000,0.810
4,6:13,1,10,MIN 28,0,20,Daunte Culpepper pass complete to Derrick Alexander for 13 yards (tackle by Ray Mickens and Aaron Beasley),0.810,1.660
4,5:53,1,10,MIN 41,0,20,Daunte Culpepper pass complete to Derrick Alexander for 9 yards (tackle by Aaron Beasley),1.660,2.340
4,5:36,2,1,,0,20,Daunte Culpepper pass complete to Moe Williams for 10 yards (tackle by Ray Mickens),2.340,2.920
4,5:11,1,10,NYJ 40,0,20,Daunte Culpepper pass complete to Byron Chamberlain for 7 yards (tackle by Donnie Abraham),2.920,3.320
4,4:49,2,3,NYJ 33,0,20,Daunte Culpepper pass complete to Randy Moss for 5 yards (tackle by Nick Ferguson),3.320,3.710
4,4:26,1,10,NYJ 28,0,20,Daunte Culpepper pass complete to D'Wayne Bates for 18 yards (tackle by James Darling),3.710,4.910
4,4:00,1,10,NYJ 10,0,20,Daunte Culpepper pass complete to Moe Williams for 5 yards (tackle by Donnie Abraham),4.910,5.150
4,3:34,2,5,NYJ 5,0,20,Moe Williams right guard for 4 yards (tackle by Ray Mickens and Sam Garnes),5.150,5.170
4,3:09,3,1,NYJ 1,6,20,"Moe Williams right guard for 1 yard, touchdown",5.170,7.000
4,3:06,3,1,NYJ 1,,,Timeout #1 by Minnesota Vikings,5.170,0.000
4,3:06,,,NYJ 1,7,20,Gary Anderson kicks extra point good,0.000,0.000
4,3:06,,,MIN 30,7,20,Doug Brien kicks onside 10 yards,0.000,-2.920
4,3:04,1,10,MIN 40,7,20,Chad Pennington pass complete to Jerald Sowell for 2 yards (tackle by Nick Rogers),2.920,2.640
4,2:26,2,8,MIN 38,7,20,LaMont Jordan right tackle for 3 yards (tackle by Henri Crockett),2.640,2.340
4,2:19,2,8,MIN 38,,,Timeout #2 by Minnesota Vikings,2.640,2.340
4,2:19,3,5,MIN 35,7,20,LaMont Jordan left tackle for 3 yards (tackle by Chris Hovan),2.340,1.300
4,2:00,4,2,MIN 32,7,20,"Matt Turk punts 21 yards, fair catch by Nick Davis",1.300,0.370
4,1:52,1,10,MIN 11,7,20,Moe Williams for 2 yards (tackle by James Reed and Mo Lewis),-0.370,-0.630
4,1:34,2,8,MIN 13,7,20,Daunte Culpepper pass complete to Byron Chamberlain for 5 yards,-0.630,-0.600
4,1:14,3,3,MIN 18,7,20,Daunte Culpepper pass complete to D'Wayne Bates for 6 yards (tackle by Aaron Beasley),-0.600,0.540
4,0:50,1,10,MIN 24,7,20,Daunte Culpepper pass complete to D'Wayne Bates for 15 yards,0.540,1.530
4,0:44,1,10,MIN 39,7,20,Daunte Culpepper pass complete to Byron Chamberlain for 6 yards,1.530,1.800
4,0:36,2,4,MIN 45,7,20,Daunte Culpepper pass complete to Randy Moss for 13 yards (tackle by Ray Mickens),1.800,2.790
4,0:12,1,10,NYJ 42,7,20,Daunte Culpepper pass complete to Moe Williams for 9 yards (tackle by Andrew Davison),2.790,3.460
4,0:07,1,10,NYJ 42,,,Timeout #3 by Minnesota Vikings,2.790,3.460
4,0:07,2,1,NYJ 33,7,20,Daunte Culpepper pass incomplete intended for D'Wayne Bates (defended by Damien Robinson),3.460,2.740
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
