Quarter,Time,Tm,Detail,KAN,LAC
1.0,10:54,Chiefs,Harrison Butker 33 yard field goal,3,0
,9:33,Chargers,Josh Palmer 50 yard pass from Justin Herbert (Cameron Dicker kick),3,7
,5:58,Chiefs,Harrison Butker 52 yard field goal,6,7
,2:35,Chargers,Cameron Dicker 46 yard field goal,6,10
2.0,14:13,Chiefs,Travis Kelce 4 yard pass from Patrick Mahomes (Harrison Butker kick),13,10
,3:37,Chargers,Austin Ekeler 1 yard rush (Cameron Dicker kick),13,17
,0:14,Chargers,Cameron Dicker 21 yard field goal,13,20
3.0,6:22,Chiefs,Harrison Butker 30 yard field goal,16,20
4.0,14:50,Chiefs,Travis Kelce 32 yard pass from Patrick Mahomes (Harrison Butker kick),23,20
,1:46,Chargers,Josh Palmer 6 yard pass from Justin Herbert (Cameron Dicker kick),23,27
,0:31,Chiefs,Travis Kelce 17 yard pass from Patrick Mahomes (Harrison Butker kick),30,27
