Unnamed: 0,KAN,LAC
First Downs,23,22
Rush-Yds-TDs,27-163-0,30-115-1
Cmp-Att-Yd-TD-INT,20-34-329-3-0,23-30-280-2-1
Sacked-Yards,1-7,5-30
Net Pass Yards,322,250
Total Yards,485,365
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,4-54,4-25
Third Down Conv.,5-10,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:41,32:19
