Unnamed: 0,CLE,NYJ
First Downs,15,18
Rush-Yds-TDs,28-104-0,36-154-2
Cmp-Att-Yd-TD-INT,18-32-231-1-1,15-24-179-2-1
Sacked-Yards,3-14,0-0
Net Pass Yards,217,179
Total Yards,321,333
Fumbles-Lost,4-4,1-0
Turnovers,5,1
Penalties-Yards,12-109,4-30
Third Down Conv.,8-16,7-13
Fourth Down Conv.,1-2,0-1
Time of Possession,31:40,28:20
