Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NYJ 20,0,0,Chris Ivory right end for 3 yards (tackle by Joe Haden),0.280,0.140
1,14:24,2,7,NYJ 23,0,0,Chris Ivory middle for 4 yards (tackle by Donte Whitner and Craig Robertson),0.140,-0.030
1,13:42,3,3,NYJ 27,0,0,Ryan Fitzpatrick pass complete deep left to Eric Decker for 22 yards (tackle by Donte Whitner and K'Waun Williams),-0.030,2.190
1,13:05,1,10,NYJ 49,0,0,Chris Ivory right tackle for no gain (tackle by Randy Starks and Scott Solomon),2.190,1.650
1,12:27,2,10,NYJ 49,0,0,Ryan Fitzpatrick pass complete short left to Chris Owusu for 5 yards (tackle by Tashaun Gipson and Tramon Williams),1.650,1.620
1,11:50,3,5,CLE 46,0,0,Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall (defended by Jordan Poyer),1.620,0.200
1,11:44,4,5,CLE 46,0,0,"Ryan Quigley punts 37 yards, fair catch by Travis Benjamin",0.200,0.380
1,11:36,1,10,CLE 9,0,0,Josh McCown pass incomplete deep left intended for Jim Dray,-0.380,-0.780
1,11:29,2,10,CLE 9,0,0,Isaiah Crowell middle for 1 yard (tackle by Leonard Williams),-0.780,-1.300
1,10:45,3,9,CLE 10,0,0,Josh McCown right end for 9 yards (tackle by Darrelle Revis),-1.300,0.150
1,9:56,1,10,CLE 19,0,0,Isaiah Crowell left tackle for 1 yard (tackle by Muhammad Wilkerson),0.150,-0.200
1,9:35,2,9,CLE 20,0,0,Josh McCown pass complete short middle to Malcolm Johnson for 8 yards (tackle by David Harris and Calvin Pace),-0.200,0.100
1,8:20,3,1,CLE 28,0,0,Josh McCown pass complete short right to Taylor Gabriel for 11 yards,0.100,1.530
1,7:52,1,10,CLE 39,0,0,Isaiah Crowell right end for 1 yard (tackle by David Harris),1.530,1.120
1,7:26,2,9,CLE 40,0,0,Isaiah Crowell middle for 8 yards (tackle by Calvin Pryor),1.120,1.490
1,6:56,3,1,CLE 48,0,0,Josh McCown middle for 1 yard (tackle by Leonard Williams and T.J. Barnes),1.490,2.190
1,6:20,1,10,CLE 49,0,0,Josh McCown pass complete short left to Gary Barnidge for 2 yards (tackle by Calvin Pryor),2.190,1.920
1,5:38,2,8,NYJ 49,0,0,Josh McCown pass complete short right to Malcolm Johnson for 6 yards (tackle by Darrelle Revis and Demario Davis),1.920,2.010
1,4:51,3,2,NYJ 43,0,0,Josh McCown pass complete short right to Gary Barnidge for 22 yards (tackle by Marcus Gilchrist),2.010,4.170
1,3:59,1,10,NYJ 21,0,0,Shaun Draughn left tackle for 4 yards (tackle by David Harris),4.170,4.200
