Quarter,Time,Tm,Detail,NYJ,BAL
1.0,6:52,Jets,Nick Folk 27 yard field goal,3,0
,1:59,Ravens,Justin Tucker 30 yard field goal,3,3
2.0,10:15,Ravens,Justin Tucker 26 yard field goal,3,6
,1:56,Ravens,Justin Tucker 33 yard field goal,3,9
3.0,10:01,Ravens,Justin Tucker 53 yard field goal,3,12
,0:05,Ravens,Jacoby Jones 66 yard pass from Joe Flacco (Justin Tucker kick),3,19
