Unnamed: 0,NYJ,BAL
First Downs,12,15
Rush-Yds-TDs,28-102-0,31-67-0
Cmp-Att-Yd-TD-INT,10-24-140-0-2,17-27-273-1-1
Sacked-Yards,3-22,4-28
Net Pass Yards,118,245
Total Yards,220,312
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,6-56,5-41
Third Down Conv.,1-12,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:55,34:05
