Quarter,Time,Tm,Detail,BAL,TAM
1.0,13:11,Ravens,Torrey Smith 15 yard pass from Joe Flacco (Justin Tucker kick),7,0
,9:22,Ravens,Torrey Smith 9 yard pass from Joe Flacco (Justin Tucker kick),14,0
,5:00,Ravens,Kamar Aiken 17 yard pass from Joe Flacco (Justin Tucker kick),21,0
,0:01,Ravens,Michael Campanaro 19 yard pass from Joe Flacco (Justin Tucker kick),28,0
2.0,13:57,Ravens,Steve Smith Sr. 56 yard pass from Joe Flacco (Justin Tucker kick),35,0
,8:41,Ravens,Justin Tucker 46 yard field goal,38,0
3.0,10:50,Buccaneers,Patrick Murray 47 yard field goal,38,3
,5:46,Buccaneers,Mike Evans 17 yard pass from Mike Glennon (Patrick Murray kick),38,10
,0:07,Ravens,Bernard Pierce 4 yard rush (Justin Tucker kick),45,10
4.0,12:19,Buccaneers,Louis Murphy 3 yard pass from Mike Glennon (Patrick Murray kick),45,17
,7:53,Ravens,Justin Tucker 49 yard field goal,48,17
