Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 57 yards, returned by Yamon Figurs for 11 yards (tackle by Herana-Daze Jones)",0.000,0.540
1,14:57,1,10,BAL 24,0,0,Ray Rice left guard for 4 yards (tackle by Keith Rivers),0.540,0.540
1,14:19,2,6,BAL 28,0,0,"Joe Flacco pass complete short middle to Todd Heap for 5 yards (tackle by Frostee Rucker). Todd Heap fumbles (forced by Frostee Rucker), recovered by Robert Geathers at BAL-33 (tackle by Adam Terry)",0.540,-3.380
1,14:13,1,10,BAL 33,0,0,Chris Perry up the middle for 1 yard (tackle by Haloti Ngata),3.380,2.970
1,13:36,2,9,BAL 32,0,0,Carson Palmer sacked by Justin Bannan for -6 yards,2.970,1.490
1,13:00,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,1.490
1,13:00,3,15,BAL 38,0,0,Carson Palmer sacked by Jarret Johnson for -4 yards,1.490,0.460
1,12:21,4,19,BAL 42,0,0,Kyle Larson punts 39 yards,0.460,0.380
1,12:10,1,10,BAL 3,0,0,Le'Ron McClain left tackle for 4 yards (tackle by Rashad Jeanty and Robert Geathers),-0.380,-0.490
1,11:29,2,6,BAL 7,0,0,Joe Flacco pass incomplete short right intended for Derrick Mason (defended by Johnathan Joseph),-0.490,-0.950
1,11:24,3,6,BAL 7,0,0,Ray Rice left tackle for 5 yards (tackle by Marvin White),-0.950,-2.490
1,10:55,4,1,BAL 12,0,0,"Penalty on Yamon Figurs: False Start, 5 yards (no play)",-2.490,-2.490
1,10:40,4,6,BAL 7,0,0,Sam Koch punts 39 yards,-2.490,-2.520
1,10:34,1,10,BAL 46,0,0,Chris Perry right tackle for 3 yards (tackle by Jarret Johnson),2.520,2.380
1,9:51,2,7,BAL 43,0,0,"Chris Perry right guard for 3 yards. Penalty on Terrell Suggs: Defensive Offside, 4 yards (no play)",2.380,2.920
1,9:28,2,3,BAL 39,0,0,Chris Perry up the middle for 2 yards (tackle by Ray Lewis and Jarret Johnson),2.920,2.480
1,8:45,3,1,BAL 37,0,0,Carson Palmer up the middle for 2 yards (tackle by Ray Lewis),2.480,3.250
1,8:06,1,10,BAL 35,0,0,Carson Palmer for 4 yards (tackle by Chris McAlister),3.250,3.240
1,7:33,2,6,BAL 31,0,0,Carson Palmer pass complete short right to Ben Utecht for 8 yards (tackle by Dawan Landry),3.240,4.040
1,6:51,1,10,BAL 23,0,0,Chris Perry right tackle for 9 yards (tackle by Justin Bannan and Chris McAlister),4.040,4.950
1,6:13,2,1,BAL 14,0,0,Chris Perry left guard for -3 yards (tackle by Terrell Suggs),4.950,3.660
1,5:29,3,4,BAL 17,0,0,Carson Palmer pass incomplete short middle intended for Chad Ochocinco is intercepted by Chris McAlister at BAL-6 and returned for 16 yards (tackle by Carson Palmer),3.660,-0.410
1,5:18,1,10,BAL 22,0,0,Joe Flacco pass complete short right to Derrick Mason for 15 yards (tackle by Johnathan Joseph),0.410,1.400
1,4:52,1,10,BAL 37,0,0,Le'Ron McClain up the middle for 3 yards (tackle by Robert Geathers),1.400,1.260
1,4:16,2,7,BAL 40,0,0,Joe Flacco pass incomplete short right intended for Le'Ron McClain,1.260,0.560
1,4:13,3,7,BAL 40,0,0,Joe Flacco pass complete short right to Derrick Mason for 8 yards (tackle by Dhani Jones),0.560,2.130
1,3:45,1,10,BAL 48,0,0,Ray Rice left tackle for 4 yards (tackle by Dhani Jones and Rashad Jeanty),2.130,2.120
1,3:07,2,6,CIN 48,0,0,Joe Flacco pass complete short left to Mark Clayton for 5 yards (tackle by Leon Hall),2.120,2.080
1,2:42,3,1,CIN 43,0,0,Joe Flacco up the middle for 1 yard (tackle by John Thornton and Dhani Jones),2.080,2.790
1,2:27,1,10,CIN 42,0,6,"Mark Clayton left end for 42 yards, touchdown",2.790,7.000
1,,,,CIN 2,0,7,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,0,7,"Steven Hauschka kicks off 70 yards, returned by Glenn Holt for 24 yards (tackle by Haruki Nakamura)",0.000,-0.540
1,2:08,1,10,CIN 24,0,7,Chris Perry left end for 5 yards (tackle by Dawan Landry),0.540,0.670
1,1:41,2,5,CIN 29,0,7,Chris Perry up the middle for 3 yards (tackle by Marques Douglas and Justin Bannan),0.670,0.370
1,0:59,3,2,CIN 32,0,7,Carson Palmer pass incomplete short left intended for Chris Perry. Penalty on Levi Jones: Illegal Formation (Declined),0.370,-1.240
1,0:54,4,2,CIN 32,0,7,"Kyle Larson punts 52 yards, returned by Yamon Figurs for 13 yards (tackle by Darryl Blackstock)",-1.240,-0.870
1,0:41,1,10,BAL 29,0,7,Ray Rice left end for 4 yards (tackle by Domata Peko and John Thornton),0.870,0.870
Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,BAL 33,0,7,"Penalty on Jared Gaither: False Start, 5 yards (no play)",0.870,0.190
2,15:00,2,11,BAL 28,0,7,Le'Ron McClain left guard for 2 yards (tackle by Antwan Odom),0.190,-0.230
2,14:18,3,9,BAL 30,0,7,Joe Flacco pass incomplete short right intended for Mark Clayton,-0.230,-1.370
2,14:12,4,9,BAL 30,0,7,"Sam Koch punts 43 yards, returned by Antonio Chatman for -1 yards (tackle by Dawan Landry)",-1.370,-0.670
2,14:02,1,10,CIN 26,0,7,Carson Palmer pass incomplete deep right intended for Ben Utecht,0.670,0.130
2,13:56,2,10,CIN 26,0,7,Chris Perry right tackle for 8 yards (tackle by Chris McAlister),0.130,0.500
2,13:09,,,,0,7,Timeout #2 by Cincinnati Bengals,0.000,0.500
2,13:09,3,2,CIN 34,0,7,Chris Perry left guard for -2 yards (tackle by Bart Scott),0.500,-1.240
2,12:38,4,4,CIN 32,0,7,"Kyle Larson punts 43 yards, returned by Yamon Figurs for 4 yards (tackle by Corey Mays)",-1.240,-0.870
2,12:25,1,10,BAL 29,0,7,Joe Flacco pass incomplete deep middle intended for Mark Clayton (defended by Johnathan Joseph),0.870,0.330
2,12:20,,,,0,7,Timeout #1 by Baltimore Ravens,0.000,0.330
2,12:20,2,10,BAL 29,0,7,Ray Rice right tackle for 5 yards (tackle by Frostee Rucker and Keith Rivers),0.330,0.300
2,11:37,3,5,BAL 34,0,7,Joe Flacco pass incomplete short middle intended for Ray Rice,0.300,-1.110
2,11:32,4,5,BAL 34,0,7,"Sam Koch punts 46 yards, returned by Antonio Chatman for 20 yards (tackle by Corey Ivy). Penalty on David Jones: Illegal Block Above the Waist, 10 yards",-1.110,0.350
2,11:17,1,10,CIN 12,0,7,Chris Perry up the middle for 1 yard (tackle by Marques Douglas and Samari Rolle),-0.350,-0.700
2,10:36,2,9,CIN 13,0,7,Chris Perry left end for 2 yards (tackle by Jarret Johnson and Ray Lewis),-0.700,-1.070
2,9:51,3,7,CIN 15,0,7,Carson Palmer pass incomplete deep middle intended for Antonio Chatman,-1.070,-2.440
2,9:51,4,7,CIN 15,0,7,"Kyle Larson punts 56 yards, returned by Yamon Figurs for 71 yards. Penalty on Frank Walker: Illegal Block Above the Waist, 10 yards",-2.440,-2.520
2,9:27,1,10,CIN 46,0,7,Joe Flacco pass complete short right to Ray Rice for 4 yards (tackle by John Thornton),2.520,2.520
2,8:46,2,6,CIN 42,0,7,"Penalty on Robert Geathers: Defensive Offside, 5 yards (no play)",2.520,3.190
2,8:37,2,1,CIN 37,0,7,Le'Ron McClain up the middle for 8 yards (tackle by Robert Geathers),3.190,3.640
2,8:00,1,10,CIN 29,0,7,Joe Flacco pass incomplete short right intended for Lorenzo Neal,3.640,3.100
2,7:54,2,10,CIN 29,0,7,Joe Flacco pass incomplete short left intended for Todd Heap (defended by Leon Hall),3.100,2.410
2,7:50,3,10,CIN 29,0,7,Joe Flacco pass incomplete deep left intended for Demetrius Williams (defended by Leon Hall),2.410,1.500
2,7:44,4,10,CIN 29,0,7,Matt Stover 47 yard field goal no good,1.500,-1.400
2,7:40,1,10,CIN 37,0,7,Carson Palmer pass incomplete short middle intended for Reggie Kelly,1.400,0.860
2,7:36,2,10,CIN 37,0,7,Chris Perry right end for -3 yards (tackle by Terrell Suggs),0.860,-0.230
2,6:50,3,13,CIN 34,0,7,"Penalty on Carson Palmer: Delay of Game, 5 yards (no play)",-0.230,-0.890
2,6:24,3,18,CIN 29,0,7,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 7 yards (tackle by Bart Scott),-0.890,-0.980
