Quarter,Time,Tm,Detail,CIN,BAL
1.0,2:12,Ravens,Mark Clayton 42 yard rush (Matt Stover kick),0,7
2.0,1:43,Ravens,Matt Stover 21 yard field goal,0,10
,0:05,Bengals,Shayne Graham 43 yard field goal,3,10
3.0,0:15,Ravens,Joe Flacco 38 yard rush (Matt Stover kick),3,17
4.0,10:15,Bengals,Johnathan Joseph 65 yard defensive fumble return (Shayne Graham kick),10,17
