Unnamed: 0,NOR,GNB
First Downs,25,30
Rush-Yds-TDs,19-45-0,25-102-0
Cmp-Att-Yd-TD-INT,35-54-446-3-0,31-41-319-4-1
Sacked-Yards,2-17,0-0
Net Pass Yards,429,319
Total Yards,474,421
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,10-72,7-43
Third Down Conv.,9-17,4-8
Fourth Down Conv.,1-1,1-1
Time of Possession,30:28,29:32
