Quarter,Time,Tm,Detail,IND,SDG
1.0,11:27,Colts,Adam Vinatieri 30 yard field goal,3,0
2.0,12:02,Chargers,Keenan Allen 22 yard pass from Philip Rivers (Nick Novak kick),3,7
,1:41,Chargers,Nick Novak 31 yard field goal,3,10
,0:00,Colts,Adam Vinatieri 50 yard field goal,6,10
3.0,9:05,Chargers,Nick Novak 33 yard field goal,6,13
4.0,9:43,Chargers,Nick Novak 34 yard field goal,6,16
,7:21,Colts,Adam Vinatieri 51 yard field goal,9,16
,1:55,Chargers,Nick Novak 50 yard field goal,9,19
