Unnamed: 0,IND,SDG
First Downs,12,24
Rush-Yds-TDs,17-74-0,37-147-0
Cmp-Att-Yd-TD-INT,18-30-202-0-1,22-33-237-1-0
Sacked-Yards,1-9,2-10
Net Pass Yards,193,227
Total Yards,267,374
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-28,5-25
Third Down Conv.,2-10,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,21:29,38:31
