Quarter,Time,Tm,Detail,DEN,KAN
1.0,9:35,Chiefs,Lawrence Tynes 24 yard field goal,0,3
2.0,3:03,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),0,10
,0:14,Broncos,Jason Elam 31 yard field goal,3,10
3.0,11:20,Chiefs,Lawrence Tynes 34 yard field goal,3,13
,6:21,Broncos,Stephen Alexander 1 yard pass from Jake Plummer (Jason Elam kick),10,13
4.0,14:56,Chiefs,Lawrence Tynes 29 yard field goal,10,16
,2:42,Chiefs,Lawrence Tynes 21 yard field goal,10,19
