Unnamed: 0,DEN,KAN
First Downs,16,22
Rush-Yds-TDs,16-38-0,41-223-1
Cmp-Att-Yd-TD-INT,25-39-216-1-1,13-22-161-0-1
Sacked-Yards,2-10,1-2
Net Pass Yards,206,159
Total Yards,244,382
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,7-44,4-25
Third Down Conv.,4-12,4-10
Fourth Down Conv.,0-1,0-0
Time of Possession,24:58,35:02
