Unnamed: 0,DET,TEN
First Downs,23,15
Rush-Yds-TDs,26-103-0,26-95-1
Cmp-Att-Yd-TD-INT,33-49-346-2-1,18-33-217-1-0
Sacked-Yards,2-15,0-0
Net Pass Yards,331,217
Total Yards,434,312
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,6-52,7-50
Third Down Conv.,5-15,5-13
Fourth Down Conv.,1-2,0-0
Time of Possession,32:58,27:02
