Quarter,Time,Tm,Detail,DET,TEN
1.0,10:00,Titans,Keith Bulluck 39 yard defensive fumble return (Gary Anderson kick),0,7
,3:16,Lions,Jason Hanson 26 yard field goal,3,7
2.0,5:42,Lions,Cory Schlesinger 21 yard pass from Joey Harrington (Jason Hanson kick),10,7
,1:06,Titans,Drew Bennett 32 yard pass from Billy Volek (Gary Anderson kick),10,14
3.0,3:25,Lions,Jason Hanson 26 yard field goal,13,14
,1:00,Titans,Antowain Smith 2 yard rush (Gary Anderson kick),13,21
4.0,10:25,Titans,Gary Anderson 40 yard field goal,13,24
,4:06,Lions,Roy Williams 17 yard pass from Joey Harrington (pass failed),19,24
