Quarter,Time,Tm,Detail,NWE,STL
1.0,12:25,Rams,Chris Givens 50 yard pass from Sam Bradford (Greg Zuerlein kick),0,7
,7:50,Patriots,Brandon Lloyd 19 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
2.0,14:12,Patriots,Shane Vereen 1 yard rush (Stephen Gostkowski kick),14,7
,6:26,Patriots,Rob Gronkowski 7 yard pass from Tom Brady (Stephen Gostkowski kick),21,7
,0:10,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),28,7
3.0,12:24,Patriots,Brandon Lloyd 9 yard pass from Tom Brady (Stephen Gostkowski kick),35,7
,6:55,Patriots,Stephen Gostkowski 26 yard field goal,38,7
4.0,11:20,Patriots,Rob Gronkowski 14 yard pass from Tom Brady (Stephen Gostkowski kick),45,7
