Quarter,Time,Down,ToGo,Location,NWE,STL,Detail,EPB,EPA
1,7:04,1,10,STL 30,7,7,Steven Jackson right tackle for 7 yards (tackle by Alfonzo Dennard),0.940,1.340
1,6:31,2,3,STL 37,7,7,Daryl Richardson right end for 5 yards (tackle by Brandon Spikes),1.340,1.730
1,5:55,1,10,STL 42,7,7,"Sam Bradford pass complete short right to Austin Pettis for 17 yards (tackle by Tavon Wilson). Penalty on STL: Illegal Touch Pass, 5 yards (no play)",1.730,1.400
1,5:22,1,15,STL 37,7,7,Sam Bradford pass complete short left to Austin Pettis for 9 yards (tackle by Tavon Wilson),1.400,1.730
1,4:43,2,6,STL 46,7,7,Steven Jackson right guard for 1 yard (tackle by Kyle Love),1.730,1.160
1,3:59,3,5,STL 47,7,7,"Sam Bradford pass incomplete (defended by Chandler Jones). Penalty on Sam Bradford: Intentional Grounding, 12 yards",1.160,-1.040
1,3:54,4,17,STL 35,7,7,"John Hekker punts 50 yards, returned by Julian Edelman for 2 yards (tackle by Rodney McLeod)",-1.040,0.060
1,3:43,1,10,NWE 17,7,7,Tom Brady pass complete short middle to Wes Welker for 3 yards (tackle by Cortland Finnegan),-0.060,-0.060
1,3:11,2,7,NWE 20,7,7,Stevan Ridley left end for 20 yards (tackle by Craig Dahl),-0.060,1.600
1,2:51,1,10,NWE 40,7,7,Tom Brady pass complete short middle to Rob Gronkowski for 25 yards (tackle by Craig Dahl),1.600,3.250
1,2:06,1,10,STL 35,7,7,Tom Brady pass complete short left to Wes Welker for 9 yards (tackle by Janoris Jenkins),3.250,3.920
1,1:21,2,1,STL 26,7,7,Tom Brady pass complete deep left to Rob Gronkowski for 25 yards (tackle by Craig Dahl),3.920,6.970
1,0:34,1,1,STL 1,7,7,Stevan Ridley left tackle for -1 yards (tackle by Josh Hull),6.970,5.720
Quarter,Time,Down,ToGo,Location,NWE,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,STL 2,7,7,Tom Brady pass incomplete short right intended for Rob Gronkowski (defended by Cortland Finnegan),5.720,4.950
2,14:55,3,2,STL 2,7,7,Danny Woodhead left guard for 1 yard (tackle by Jo-Lonn Dunbar),4.950,3.550
2,14:16,4,1,STL 1,13,7,"Shane Vereen right tackle for 1 yard, touchdown",3.550,7.000
2,14:16,,,STL 2,14,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,14:12,,,NWE 35,14,7,"Stephen Gostkowski kicks off 70 yards, touchback",0.000,0.280
2,14:12,1,10,STL 20,14,7,Sam Bradford pass complete short middle to Daryl Richardson for 7 yards (tackle by Brandon Spikes),0.280,0.680
2,13:33,2,3,STL 27,14,7,Daryl Richardson left guard for 1 yard (tackle by Brandon Deaderick),0.680,0.100
2,12:45,3,2,STL 28,14,7,Sam Bradford pass complete short left to Lance Kendricks for 6 yards (tackle by Sterling Moore),0.100,1.200
2,12:02,1,10,STL 34,14,7,"Penalty on Lance Kendricks: False Start, 5 yards (no play)",1.200,0.870
2,11:41,1,15,STL 29,14,7,Daryl Richardson left end for 4 yards (tackle by Brandon Deaderick),0.870,0.520
2,10:59,2,11,STL 33,14,7,Sam Bradford pass complete short right to Daryl Richardson for -4 yards (tackle by Vince Wilfork),0.520,-0.690
2,10:13,3,15,STL 29,14,7,Sam Bradford pass incomplete short left intended for Steve Smith (defended by Marquice Cole),-0.690,-1.440
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the original play was overturned.",,
2,10:08,4,15,STL 29,14,7,John Hekker punts 49 yards,-1.440,-0.410
2,9:55,1,10,NWE 22,14,7,Tom Brady pass incomplete short right intended for Rob Gronkowski (defended by Cortland Finnegan),0.410,-0.130
2,9:50,2,10,NWE 22,14,7,Shane Vereen right guard for 14 yards (tackle by Jermelle Cudjo),-0.130,1.330
2,9:19,1,10,NWE 36,14,7,Tom Brady pass complete short left to Rob Gronkowski for 17 yards (tackle by Cortland Finnegan),1.330,2.460
2,8:43,1,10,STL 47,14,7,Shane Vereen up the middle for 6 yards (tackle by Kendall Langford),2.460,2.720
2,8:05,2,4,STL 41,14,7,Tom Brady pass incomplete deep middle intended for Wes Welker,2.720,2.010
2,8:00,3,4,STL 41,14,7,Tom Brady pass complete short middle to Rob Gronkowski for 32 yards (tackle by Craig Dahl and Bradley Fletcher),2.010,5.140
2,7:16,1,9,STL 9,14,7,Tom Brady pass incomplete short right intended for Rob Gronkowski,5.140,4.380
2,7:11,2,9,STL 9,14,7,Danny Woodhead left guard for 2 yards (tackle by Jo-Lonn Dunbar),4.380,3.810
2,6:31,3,7,STL 7,20,7,"Tom Brady pass complete short middle to Rob Gronkowski for 7 yards, touchdown",3.810,7.000
2,6:31,,,STL 2,21,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,6:26,,,NWE 35,21,7,"Stephen Gostkowski kicks off 71 yards, returned by Isaiah Pead for 13 yards. Penalty on Matt Slater: Offside on Free Kick, 5 yards (no play)",0.000,0.000
2,6:26,,,NWE 30,21,7,"Stephen Gostkowski kicks off 64 yards, returned by Isaiah Pead for 23 yards (tackle by Nate Ebner)",0.000,0.870
2,6:15,1,10,STL 29,21,7,Steven Jackson right guard for no gain (tackle by Kyle Love),0.870,0.330
2,5:37,2,10,STL 29,21,7,Sam Bradford pass complete short right to Chris Givens for 9 yards (tackle by Alfonzo Dennard),0.330,0.830
2,4:57,3,1,STL 38,21,7,Sam Bradford pass complete short left to Brandon Gibson for 8 yards (tackle by Sterling Moore),0.830,1.990
2,4:22,1,10,STL 46,21,7,Sam Bradford pass complete short right to Steven Jackson for 8 yards (tackle by Brandon Spikes),1.990,2.530
2,3:48,2,2,NWE 46,21,7,Steven Jackson right tackle for 5 yards (tackle by Alfonzo Dennard),2.530,2.850
2,3:04,1,10,NWE 41,21,7,"Sam Bradford pass complete short left to Steven Jackson for 6 yards (tackle by Dont'a Hightower). Penalty on Shelley Smith: Offensive Holding, 10 yards (no play)",2.850,2.190
2,2:37,1,20,STL 49,21,7,Sam Bradford pass complete short left to Daryl Richardson for -2 yards (tackle by Jerod Mayo),2.190,0.000
2,2:30,,,,21,7,Timeout #1 by St. Louis Rams,0.000,0.690
2,2:30,2,22,STL 47,21,7,Sam Bradford pass complete short left to Lance Kendricks for 7 yards (tackle by Chandler Jones),0.690,0.000
2,2:19,,,,21,7,Timeout #1 by New England Patriots,0.000,0.960
2,2:19,3,15,NWE 46,21,7,Sam Bradford pass complete short left to Lance Kendricks for 11 yards (tackle by Devin McCourty),0.960,0.980
2,2:00,4,4,NWE 35,21,7,John Hekker left end for -9 yards (tackle by Marquice Cole),0.980,-1.860
2,1:52,1,10,NWE 44,21,7,Tom Brady pass complete short left to Danny Woodhead for 15 yards (tackle by Cortland Finnegan),1.860,2.850
2,1:34,1,10,STL 41,21,7,Tom Brady pass incomplete short left intended for Danny Woodhead,2.850,2.310
2,1:30,2,10,STL 41,21,7,Tom Brady pass complete short left to Danny Woodhead for 6 yards (tackle by Jo-Lonn Dunbar),2.310,2.410
2,0:53,3,4,STL 35,21,7,"Tom Brady pass incomplete short right intended for Deion Branch (defended by Bradley Fletcher). Penalty on Bradley Fletcher: Defensive Pass Interference, 15 yards (no play)",2.410,4.240
2,0:48,1,10,STL 20,21,7,Tom Brady pass incomplete deep right intended for Brandon Lloyd (defended by Bradley Fletcher),4.240,3.690
2,0:44,2,10,STL 20,21,7,Tom Brady pass complete short middle to Wes Welker for 9 yards (tackle by Jo-Lonn Dunbar),3.690,0.000
2,0:38,,,,21,7,Timeout #2 by New England Patriots,0.000,4.590
2,0:38,3,1,STL 11,21,7,Tom Brady right guard for 3 yards (tackle by James Laurinaitis),4.590,5.370
2,0:24,1,8,STL 8,21,7,Tom Brady pass incomplete short left intended for Brandon Lloyd,5.370,4.570
2,0:21,2,8,STL 8,21,7,Tom Brady pass incomplete short middle intended for Rob Gronkowski (defended by Trumaine Johnson),4.570,3.580
2,0:17,3,8,STL 8,21,7,"Tom Brady pass incomplete short right intended for Deion Branch (defended by Bradley Fletcher). Penalty on Bradley Fletcher: Defensive Pass Interference, 7 yards (no play)",3.580,6.970
2,0:14,1,1,STL 1,27,7,"Stevan Ridley right tackle for 1 yard, touchdown",6.970,7.000
2,0:14,,,STL 2,28,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,0:10,,,NWE 35,28,7,"Stephen Gostkowski kicks off 42 yards, returned by Craig Dahl for 6 yards (tackle by Matt Slater)",0.000,0.870
2,0:04,1,10,STL 29,28,7,Sam Bradford kneels for -1 yards,0.870,0.190
Quarter,Time,Down,ToGo,Location,NWE,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,28,7,"Greg Zuerlein kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,NWE 20,28,7,Tom Brady pass complete short left to Michael Hoomanawanui for 18 yards (tackle by Janoris Jenkins),0.280,1.470
3,14:38,1,10,NWE 38,28,7,Stevan Ridley right tackle for 30 yards (tackle by Craig Dahl),1.470,3.450
3,14:13,1,10,STL 32,28,7,Stevan Ridley left guard for 2 yards (tackle by James Laurinaitis),3.450,3.170
3,13:28,2,8,STL 30,28,7,Tom Brady pass complete short right to Rob Gronkowski for 10 yards (tackle by James Laurinaitis),3.170,4.240
3,12:52,1,10,STL 20,28,7,Tom Brady pass complete short left to Wes Welker for 11 yards (tackle by Janoris Jenkins),4.240,5.140
3,12:27,1,9,STL 9,34,7,"Tom Brady pass complete short left to Brandon Lloyd for 9 yards, touchdown",5.140,7.000
3,12:27,,,STL 2,35,7,Stephen Gostkowski kicks extra point good,0.000,0.000
3,12:24,,,NWE 35,35,7,"Stephen Gostkowski kicks off 72 yards, touchback",0.000,0.280
3,12:24,1,10,STL 20,35,7,Steven Jackson left tackle for 4 yards (tackle by Jermaine Cunningham),0.280,0.270
3,11:48,2,6,STL 24,35,7,"Sam Bradford pass complete short left to Brit Miller for no gain (tackle by Jerod Mayo). Penalty on Sam Bradford: Illegal Forward Pass, 5 yards",0.270,-0.960
3,11:01,3,10,STL 20,35,7,Sam Bradford pass complete short right to Lance Kendricks for 8 yards (tackle by Nate Ebner),-0.960,-1.500
3,10:21,4,2,STL 28,35,7,"John Hekker punts 48 yards, returned by Julian Edelman for -1 yards (tackle by Justin Cole). Penalty on STL: Offensive Holding, 10 yards (no play)",-1.500,-2.240
3,10:07,4,12,STL 18,35,7,"John Hekker punts 48 yards, returned by Julian Edelman for no gain",-2.240,-1.200
3,9:57,1,10,NWE 34,35,7,Stevan Ridley right guard for 3 yards (tackle by Jo-Lonn Dunbar),1.200,1.060
3,9:23,2,7,NWE 37,35,7,Stevan Ridley left guard for 16 yards (tackle by Bradley Fletcher and Craig Dahl),1.060,2.460
3,8:59,1,10,STL 47,35,7,Tom Brady pass incomplete short right intended for Wes Welker,2.460,1.910
3,8:52,2,10,STL 47,35,7,Stevan Ridley right end for 41 yards (tackle by Janoris Jenkins),1.910,5.830
3,8:19,1,6,STL 6,35,7,Stevan Ridley left guard for -4 yards (tackle by Jo-Lonn Dunbar),5.830,4.190
3,7:43,2,10,STL 10,35,7,Tom Brady pass complete short left to Danny Woodhead for 2 yards (tackle by Quintin Mikell),4.190,3.580
3,7:03,3,8,STL 8,35,7,Tom Brady pass incomplete short left intended for Danny Woodhead,3.580,2.950
3,6:58,4,8,STL 8,38,7,Stephen Gostkowski 26 yard field goal good,2.950,3.000
3,6:55,,,NWE 35,38,7,"Stephen Gostkowski kicks off 65 yards, returned by Chris Givens for 22 yards (tackle by Nate Ebner)",0.000,0.410
3,6:50,1,10,STL 22,38,7,Sam Bradford pass incomplete short middle intended for Chris Givens (defended by Sterling Moore),0.410,-0.130
3,6:47,2,10,STL 22,38,7,Sam Bradford pass incomplete short right intended for Matthew Mulligan (defended by Brandon Spikes),-0.130,-0.820
3,6:43,3,10,STL 22,38,7,Sam Bradford pass complete short middle to Mike McNeill for 9 yards (tackle by Devin McCourty),-0.820,-1.310
3,5:59,4,1,STL 31,38,7,Sam Bradford pass complete short right to Austin Pettis for 1 yard (tackle by Tavon Wilson),-1.310,1.070
3,5:49,1,10,STL 32,38,7,"Sam Bradford right tackle for no gain. Penalty on Shelley Smith: False Start, 5 yards (no play)",1.070,0.740
3,5:29,1,15,STL 27,38,7,"Sam Bradford pass incomplete short right intended for Lance Kendricks (defended by Brandon Spikes). Penalty on NWE: Defensive Holding, 5 yards (no play)",0.740,1.070
3,5:23,1,10,STL 32,38,7,Sam Bradford right guard for 3 yards (tackle by Jerod Mayo),1.070,0.930
3,4:42,2,7,STL 35,38,7,Sam Bradford pass complete short right to Mike McNeill for 3 yards (tackle by Jermaine Cunningham),0.930,0.630
3,3:59,3,4,STL 38,38,7,Sam Bradford sacked by Chandler Jones for -17 yards,0.630,-1.960
3,3:35,4,21,STL 21,38,7,"John Hekker punts 48 yards, returned by Julian Edelman for 14 yards (tackle by Jo-Lonn Dunbar)",-1.960,-1.930
3,3:23,1,10,NWE 45,38,7,Tom Brady pass incomplete deep middle intended for Wes Welker (defended by Janoris Jenkins),1.930,1.380
3,3:18,2,10,NWE 45,38,7,Shane Vereen left end for -7 yards (tackle by William Hayes),1.380,-0.230
3,2:40,3,17,NWE 38,38,7,Tom Brady pass incomplete short left intended for Rob Gronkowski. Penalty on Nate Solder: Offensive Holding (Declined),-0.230,-0.850
3,2:36,4,17,NWE 38,38,7,"Zoltan Mesko punts 62 yards, touchback",-0.850,-0.280
3,2:28,1,10,STL 20,38,7,Sam Bradford pass complete short right to Brandon Gibson for 16 yards (tackle by Alfonzo Dennard),0.280,1.330
3,2:02,1,10,STL 36,38,7,"Sam Bradford pass complete short left to Daryl Richardson for -4 yards (tackle by Jerod Mayo). Daryl Richardson fumbles (forced by Jerod Mayo), ball out of bounds at STL-32",1.330,0.250
3,1:31,2,14,STL 32,38,7,"Penalty on Chandler Jones: Encroachment, 5 yards (no play)",0.250,0.930
3,1:16,2,9,STL 37,38,7,Sam Bradford pass complete deep left to Brandon Gibson for 22 yards (tackle by Sterling Moore),0.930,2.850
3,0:32,1,10,NWE 41,38,7,Sam Bradford pass incomplete short left intended for Austin Pettis (defended by Marquice Cole),2.850,2.310
3,0:27,2,10,NWE 41,38,7,Sam Bradford pass complete short left to Chris Givens for 4 yards (tackle by Sterling Moore),2.310,2.150
Quarter,Time,Down,ToGo,Location,NWE,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,NWE 37,38,7,Sam Bradford pass incomplete short right intended for Austin Pettis,2.150,0.790
4,14:56,4,6,NWE 37,38,7,Sam Bradford sacked by Rob Ninkovich for -8 yards,0.790,-1.930
4,14:51,1,10,NWE 45,38,7,Stevan Ridley left tackle for -3 yards (tackle by Chris Long),1.930,0.980
4,14:05,2,13,NWE 42,38,7,Tom Brady pass complete short right to Wes Welker for 10 yards (tackle by Cortland Finnegan),0.980,1.620
4,13:34,3,3,STL 48,38,7,"Tom Brady pass complete short left to Wes Welker for 5 yards (tackle by Quintin Mikell). Penalty on Sebastian Vollmer: Illegal Formation, 5 yards (no play)",1.620,0.960
4,13:16,3,8,NWE 47,38,7,Tom Brady pass complete short middle to Danny Woodhead for 9 yards (tackle by Jo-Lonn Dunbar),0.960,2.650
4,12:37,1,10,STL 44,38,7,Tom Brady pass complete short middle to Rob Gronkowski for 16 yards (tackle by Quintin Mikell),2.650,3.710
4,12:01,1,10,STL 28,38,7,"Stevan Ridley left guard for 11 yards (tackle by Craig Dahl). Penalty on William Hayes: Unnecessary Roughness, 8 yards",3.710,5.140
4,11:42,1,9,STL 9,38,7,"Penalty on Daniel Fells: False Start, 5 yards (no play)",5.140,4.440
4,11:23,1,14,STL 14,44,7,"Tom Brady pass complete short right to Rob Gronkowski for 14 yards, touchdown",4.440,7.000
4,11:23,,,STL 2,45,7,Stephen Gostkowski kicks extra point good,0.000,0.000
4,11:20,,,NWE 35,45,7,"Stephen Gostkowski kicks off 64 yards, returned by Chris Givens for 26 yards (tackle by Nate Ebner)",0.000,0.740
4,11:12,1,10,STL 27,45,7,Daryl Richardson left tackle for 4 yards (tackle by Brandon Spikes),0.740,0.740
4,10:51,2,6,STL 31,45,7,Daryl Richardson left tackle for 13 yards (tackle by Tavon Wilson),0.740,1.860
4,10:17,1,10,STL 44,45,7,"Penalty on Jake Bequette: Encroachment, 5 yards (no play)",1.860,2.590
4,10:02,1,5,STL 49,45,7,Sam Bradford pass incomplete short middle intended for Brian Quick,2.590,1.990
4,9:58,2,5,STL 49,45,7,Daryl Richardson right tackle for 20 yards (tackle by Sterling Moore),1.990,3.510
4,9:11,1,10,NWE 31,45,7,Daryl Richardson right end for 6 yards (tackle by Brandon Spikes),3.510,3.780
4,8:31,2,4,NWE 25,45,7,Sam Bradford pass incomplete deep left intended for Brian Quick is intercepted by Alfonzo Dennard at NWE-4 and returned for 8 yards (tackle by Mike McNeill),3.780,0.350
4,8:21,1,10,NWE 12,45,7,Shane Vereen right guard for 1 yard (tackle by Jo-Lonn Dunbar),-0.350,-0.700
4,7:48,2,9,NWE 13,45,7,Shane Vereen right guard for 2 yards (tackle by James Laurinaitis),-0.700,-1.070
4,7:09,3,7,NWE 15,45,7,"Ryan Mallett pass complete short left to Julian Edelman for 10 yards (tackle by James Laurinaitis). Penalty on Daniel Fells: Offensive Pass Interference, 7 yards (no play)",-1.070,-1.890
4,6:52,3,14,NWE 8,45,7,Ryan Mallett pass complete short left to Shane Vereen for 17 yards (tackle by Josh Hull),-1.890,0.610
4,6:12,1,10,NWE 25,45,7,Shane Vereen left guard for 5 yards (tackle by Janoris Jenkins),0.610,0.740
4,5:31,2,5,NWE 30,45,7,Ryan Mallett pass incomplete short middle intended for Julian Edelman,0.740,0.040
4,5:26,3,5,NWE 30,45,7,Ryan Mallett pass incomplete short left intended for Deion Branch (defended by Janoris Jenkins),0.040,-1.370
4,5:24,4,5,NWE 30,45,7,"Zoltan Mesko punts 51 yards, returned by Austin Pettis for 12 yards. Penalty on Craig Dahl: Offensive Holding, 10 yards",-1.370,0.380
4,5:13,1,10,STL 9,45,7,Isaiah Pead left end for 19 yards (tackle by Alfonzo Dennard),-0.380,0.810
4,4:25,1,10,STL 28,45,7,Isaiah Pead left guard for 5 yards (tackle by Jerod Mayo),0.810,0.940
4,3:45,2,5,STL 33,45,7,Kellen Clemens right end for 5 yards (tackle by Dont'a Hightower),0.940,1.470
4,2:59,1,10,STL 38,45,7,"Kellen Clemens for no gain. Kellen Clemens fumbles, recovered by Kellen Clemens at STL-38",1.470,0.920
4,2:22,2,10,STL 38,45,7,Kellen Clemens pass complete deep left to Brian Quick for 39 yards (tackle by Sterling Moore),0.920,4.040
4,2:00,1,10,NWE 23,45,7,Isaiah Pead up the middle for 8 yards (tackle by Jeff Tarpinian),4.040,4.750
4,1:38,2,2,NWE 15,45,7,Kellen Clemens pass incomplete short left intended for Brian Quick is intercepted by Tavon Wilson at NWE-1 and returned for 45 yards,4.750,-1.990
4,1:25,1,10,NWE 46,45,7,Ryan Mallett kneels for -1 yards,1.990,1.320
4,0:44,2,11,NWE 45,45,7,Ryan Mallett kneels for -1 yards,1.320,0.500
4,0:06,3,12,NWE 44,45,7,Ryan Mallett kneels for -1 yards,0.500,-0.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
