Unnamed: 0,NWE,STL
First Downs,29,17
Rush-Yds-TDs,28-152-2,23-107-0
Cmp-Att-Yd-TD-INT,24-38-321-4-0,23-32-244-1-2
Sacked-Yards,0-0,2-25
Net Pass Yards,321,219
Total Yards,473,326
Fumbles-Lost,0-0,2-0
Turnovers,0,2
Penalties-Yards,8-42,12-102
Third Down Conv.,7-12,3-10
Fourth Down Conv.,1-1,1-3
Time of Possession,28:54,31:06
