Quarter,Time,Tm,Detail,SFO,BUF
1.0,5:43,49ers,Phil Dawson 33 yard field goal,3,0
,0:14,Bills,LeSean McCoy 4 yard rush (Dan Carpenter kick),3,7
2.0,13:56,49ers,Torrey Smith 53 yard pass from Colin Kaepernick (Phil Dawson kick),10,7
,10:18,Bills,LeSean McCoy 12 yard rush (Dan Carpenter kick),10,14
,5:54,49ers,Phil Dawson 48 yard field goal,13,14
,0:21,Bills,Dan Carpenter 40 yard field goal,13,17
3.0,2:34,Bills,Justin Hunter 30 yard pass from Tyrod Taylor (Dan Carpenter kick),13,24
4.0,14:48,49ers,Phil Dawson 47 yard field goal,16,24
,10:53,Bills,LeSean McCoy 18 yard rush (Dan Carpenter kick),16,31
,10:32,Bills,Robert Woods 5 yard pass from Tyrod Taylor (Dan Carpenter kick),16,38
,5:40,Bills,Mike Gillislee 44 yard rush (Dan Carpenter kick),16,45
